"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","County","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 118.86","26","274","Central Woodside","6","1","5","San Mateo","80","","$17,500,000","03/23/2015","147,232","ML81456298","073-270-110","Woodside","2,020.79","","","8,660","Canceled","6 Quail Meadow Drive","1989","94062","R1"
"$ 265.35","13","291","El Camino to Alameda","5","1","5","San Mateo","21","","$17,888,000","03/16/2015","65,740","ML81455196","070-090-040","Atherton","1,521.37","04/06/2015","$17,444,000","11,466","Sold","75 Almendral Avenue","2002","94027","R1001A"
"$ 144.61","61","291","El Camino to Alameda","6","1","6","San Mateo","222","","$16,900,000","03/16/2015","110,642","ML81455234","059-312-280","Atherton","1,818.18","10/23/2015","$16,000,000","8,800","Sold","181 Austin Avenue","1954","94027","R1001A"
"$ 145.26","23","290","Alameda to 280","6","2","6","San Mateo","705","","$15,800,000","04/08/2015","108,768","ML81458850","073-220-160","Atherton","1,406.95","","","11,230","Active","333 Atherton Avenue","1992","94027","R1001A"
"$ 169.69","18","291","El Camino to Alameda","6","2","7","San Mateo","136","","$14,850,000","03/30/2015","87,512","ML81457605","073-230-250","Atherton","1,156.09","","","12,845","Canceled","291 Atherton Avenue","1997","94027","R10000"
"$ 141.31","130","292","Middlefield to El Camino Atherton","7","1","9","San Mateo","947","","$11,388,000","04/13/2015","80,586","ML81459558","061-370-020","Atherton","1,358.95","","","8,380","Canceled","151 Laurel Street","1885","94027","R1001A"
"$ 177.84","111","441","Brewer Subdivision/Upland","7","1","7","San Mateo","100","","$11,000,000","04/14/2015","61,855","ML81459819","032-400-360","Hillsborough","1,160.34","","","9,480","Canceled","1 Homs Court","1904","94010","R10000"
"$ 71.13","17","221","Los Altos Hills","6","2","6","Santa Clara","72","","$10,875,000","04/06/2015","152,895","ML81458845","336-25-025","Los Altos Hills","1,377.63","","","7,894","Canceled","24020 Oak Knoll Circle","1998","94022","R1"
"$ 40.17","94","274","Central Woodside","4","1","5","San Mateo","109","","$9,980,000","04/12/2015","236,500","ML81459536","072-221-120","Woodside","1,628.94","07/30/2015","$9,500,000","5,832","Sold","680 Manzanita Way","1921","94062","R1003A"
"$ 207.29","58","291","El Camino to Alameda","5","1","5","San Mateo","21","","$9,250,000","03/16/2015","41,850","ML81455216","070-201-130","Atherton","1,597.61","04/06/2015","$8,675,000","5,430","Sold","8 Faxon Road","1957","94027","R1001A"
