"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Parcel Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 76.52","100","221","Los Altos Hills","7","2","7","182","","$27,000,000","03/31/2014","326,700","ML81410310","336-28-059","Los Altos Hills","833.33","11/09/2014","$25,000,000","30,000","Sold","12335 STONEBROOK Court","1914","94022","RA"
"$ 291.78","11","291","El Camino to Alameda","5","2","5","180","","$21,988,000","04/07/2014","75,359","ML81411300","070-180-170","Atherton","1,712.46","","","12,840","Expired","1 FAXON Road","2003","94027","R1A"
"$ 291.78","11","291","El Camino to Alameda","5","2","5","172","","$21,988,000","04/15/2014","75,359","ML81412471","070-180-170A","Atherton","1,712.46","","","12,840","Expired","1 FAXON Road","2003","94027","R1A"
"$ 148.50","53","290","Alameda to 280","6","0","5","210","","$21,800,000","04/04/2014","146,797","ML81411021","073-202-730","Atherton","2,805.66","","","7,770","Expired","50 BELBROOK Way","1961","94027","R100"
"$ 42.92","13","263","Central Portola Valley","3","3","3","151","","$19,800,000","03/26/2014","461,300","ML81409742","077-060-300","Portola Valley","2,896.85","","","6,835","Expired","127 PINON Drive","2001","94028","R100"
"$ 64.36","34","274","Central Woodside","6","1","6","238","","$16,950,000","03/17/2014","263,364","ML81408441","072-162-200","Woodside","1,770.97","11/10/2014","$16,950,000","9,571","Sold","196 ALBION Avenue","1980","94062","R1"
"$ 121.59","4","17","Saratoga","7","0","5","267","","$15,995,000","04/07/2014","131,551","ML81411364","510-27-004","Los Gatos","1,390.02","","","11,507","Canceled","16040 OVERLOOK Drive","2010","95030","HS-D1"
"$ 139.55","82","291","El Camino to Alameda","7","2","5","41","","$16,500,000","04/07/2014","109,640","ML81411299","070-342-260","Atherton","1,613.92","05/18/2014","$15,300,000","9,480","Sold","279 PARK Lane","1932","94027","R1"
"$ 750.00","89","237","Old Palo Alto","5","1","5","29","","$14,750,000","03/26/2014","20,000","ML81409798","124-07-003","Palo Alto","2,862.60","04/24/2014","$15,000,000","5,240","Sold","435 COLERIDGE Avenue","1925","94301","R1929"
"$ 48.70","10","274","Central Woodside","5","1","6","225","","$14,850,000","04/07/2014","304,920","ML81411309","073-090-590","Woodside","1,718.95","","","8,639","Canceled","437 WHISKEY HILL Road","2004","94062","R1"
"$ 124.12","65","290","Alameda to 280","6","2","6","3","","$13,988,000","03/24/2014","108,768","ML81409359","073-220-160","Atherton","1,227.27","03/27/2014","$13,500,000","11,000","Sold","333 ATHERTON Avenue","1949","94027","R1001"
"$ 275.99","10","211","North Los Altos","5","3","5","62","","$12,750,000","04/02/2014","46,197","ML81410724","167-37-010","Los Altos","1,062.50","06/03/2014","","12,000","Sold","47 VIEW Street","2004","94022","R1"
"$ 278.51","7","291","El Camino to Alameda","7","1","6","22","","$12,950,000","03/17/2014","45,600","ML81408386","070-151-140","Atherton","1,360.18","04/08/2014","$12,700,000","9,337","Sold","31 FAIRVIEW Avenue","2007","94027","R1001A"
"$ 309.41","5","230","Palo Alto Hills","9","1","7","178","","$11,988,000","03/20/2014","38,745","ML81408900","175-01-082","Palo Alto","1,260.83","","","9,508","Expired","4194 OAK HILL Avenue","2009","94306","RE"
"$ 79.79","19","274","Central Woodside","4","1","3","7","","$11,900,000","04/07/2014","149,149","ML81411265","073-121-170","Woodside","1,134.41","04/14/2014","$11,900,000","10,490","Sold","325 MANZANITA Way","1995","94062","RR"
"$ 89.79","4","17","Saratoga","5","2","6","675","","$11,499,000","04/06/2014","128,066","ML81411236","503-69-040","Saratoga","1,332.44","","","8,630","Canceled","22000 VIA REGINA","2010","95070","HCRD"
"$ 173.80","31","291","El Camino to Alameda","8","2","7","232","","$9,988,000","03/31/2014","57,470","ML81410243","070-161-080","Atherton","788.32","","","12,670","Canceled","97 FAIRVIEW Avenue","1983","94027","R100"
"$ 75.93","57","274","Central Woodside","3","0","5","125","","$9,975,000","04/12/2014","131,376","ML81412201","072-191-660","Woodside","2,809.86","","","3,550","Expired","245 MOUNTAIN WOOD Lane","1957","94062","RR"
"$ 235.10","6","291","El Camino to Alameda","6","1","5","70","","$9,900,000","04/14/2014","39,936","ML81412258","059-284-090","Atherton","1,314.05","06/23/2014","$9,388,888","7,145","Sold","93 SERRANO Drive","2008","94027","R1001"
"$ 141.09","2","444","Tobin Clark Estate / Polo Terrace","5","1","5","9","","$7,998,000","04/07/2014","62,291","ML81411304","038-423-030","Hillsborough","1,371.34","04/16/2014","$8,788,888","6,409","Sold","171 TOBIN CLARK Drive","2012","94010","R1000"
"$ 201.33","9","291","El Camino to Alameda","6","1","5","173","","$9,400,000","04/04/2014","43,560","ML81410993","070-040-550","Atherton","1,208.82","09/24/2014","$8,770,000","7,255","Sold","91 FLEUR Place","2005","94027","R100"
"$ 10.62","7","16","Los Gatos/Monte Sereno","5","2","6","17","","$8,388,000","04/07/2014","753,588","ML81411429","532-26-101","Los Gatos","845.67","04/24/2014","$8,000,000","9,460","Sold","16348 AZTEC RIDGE Drive","2007","95030","HR"
"$ 207.90","33","441","Brewer Subdivision/Upland","5","1","6","595","","$7,980,000","04/07/2014","38,384","ML81411262","032-400-340","Hillsborough","1,031.01","","","7,740","Canceled","8 HOMS Court","1981","94010","R100"
"$ 51.54","39","274","Central Woodside","3","1","3","13","","$7,375,000","03/31/2014","143,094","ML81410247","072-211-160","Woodside","1,250.00","04/13/2014","","5,900","Sold","11 BLUE RIDGE Lane","1975","94062","R1"
"$ 93.10","6","16","Los Gatos/Monte Sereno","6","0","5","343","","$7,300,000","03/24/2014","78,408","ML81409419","410-03-005","Monte Sereno","1,086.31","","","6,720","Canceled","18138 DAVES Avenue","2008","95030","R144"
"$ 145.63","14","293","Lindenwood Area","3","2","5","25","","$7,495,000","03/31/2014","50,094","ML81410263","061-240-050","Atherton","1,095.35","04/25/2014","$7,295,000","6,660","Sold","49 LOWERY Drive","2000","94027","R1"
"$ 48.26","40","263","Central Portola Valley","6","0","6","121","","$7,495,000","03/24/2014","145,055","ML81409342","077-042-020","Portola Valley","811.31","07/23/2014","$7,000,000","8,628","Sold","237 MAPACHE Drive","1974","94028","R100"
"$ 185.19","13","291","El Camino to Alameda","6","1","6","138","","$7,200,000","04/04/2014","37,800","ML81411055","059-281-070","Atherton","847.97","01/05/2015","$7,000,000","8,255","Sold","2 SERRANO Drive","2001","94027","R1A"
"$ 41.39","36","274","Central Woodside","4","3","4","24","","$6,995,000","04/07/2014","169,013","ML81411305","072-211-450","Woodside","826.34","05/01/2014","$6,995,000","8,465","Sold","1000 MOUNTAIN HOME Road","1978","94062","R100"
"$ 219.89","76","442","Hillsborough Park Etc.","5","1","5","108","","$6,989,000","04/14/2014","31,784","ML81412261","031-111-030","Hillsborough","998.71","","","6,998","Expired","989 HAYNE Road","1938","94010","R100"
