"Group.1","x","Freq.x","x.x.0%","x.x.10%","x.x.20%","x.x.30%","x.x.40%","x.x.50%","x.x.60%","x.x.70%","x.x.80%","x.x.90%","x.x.100%","x.y","Freq.y"
"",NA,NA, 459.42721, 464.22596, 469.02471, 473.82346, 509.66071, 561.01719, 612.37368, 650.00828, 660.19911, 670.38994, 680.58076, 561.0172,  4
"1", 318.4846,23,  41.57151, 287.61862, 317.69492, 338.76558, 361.63313, 383.86060, 408.00939, 431.94393, 458.94165, 519.28739,3545.45455, 383.8606,614
"10", 650.3605,48, 282.35294, 534.93596, 579.75893, 607.06721, 637.73969, 664.38876, 694.73889, 728.45907, 761.77884, 821.38224,1092.89617, 664.3888,547
"11",NA,NA, 229.26402, 379.00564, 409.21730, 434.56067, 456.80341, 480.62723, 499.54730, 518.92207, 539.51018, 570.42156, 756.41026, 480.6272,258
"12", 457.4309, 1, 284.96503, 392.00892, 415.02840, 443.94845, 466.83440, 494.65796, 518.64407, 545.31685, 581.81818, 622.85626, 743.91344, 494.6580,566
"13", 568.5434,12, 280.88392, 486.89673, 527.62867, 558.11436, 576.55370, 596.35757, 617.98355, 643.46246, 670.95542, 710.54575,1215.40313, 596.3576,252
"14", 582.7703,12, 227.91024, 523.73967, 570.25249, 611.41378, 643.11203, 663.29162, 689.92130, 722.87219, 758.35425, 816.82820,1139.60114, 663.2916,598
"15", 663.3606,22, 342.85714, 541.78872, 594.95181, 638.43956, 672.70034, 711.00917, 740.79245, 785.88664, 836.68221, 907.38550,1617.79575, 711.0092,489
"16", 813.1387,15, 408.99796, 665.97922, 722.67680, 765.14935, 816.04548, 870.60505, 928.33321, 990.35054,1080.42517,1204.10606,1836.15711, 870.6050,272
"17", 871.0233,20, 398.30058, 701.26250, 769.76525, 814.17027, 860.75336, 898.73418, 953.53383,1001.01394,1041.73398,1131.60703,1792.61587, 898.7342,265
"18", 914.9202,26, 500.62578, 773.71109, 827.72783, 878.73623, 930.35884, 981.38616,1044.67182,1106.79311,1172.55215,1257.88807,1904.76190, 981.3862,340
"19", 826.1671,22, 489.63134, 706.93157, 785.42501, 828.17620, 862.35555, 902.63284, 941.03883, 984.60357,1045.82463,1155.88086,1577.79720, 902.6328,490
