"Group.1","x.x","Freq.x","x.y.30%","x.y.40%","x.y.50%","x.y.60%","x.y.70%","Freq.y"
"",NA,NA, 747.5248, 747.5248, 747.5248, 747.5248, 747.5248,   1
"Albany",NA,NA, 400.0000, 400.0000, 400.0000, 400.0000, 400.0000,   1
"Alviso",NA,NA, 382.6231, 434.8466, 511.5628, 588.2790, 655.9602,   4
"Atherton",1488.8206, 14,1253.7396,1382.1210,1469.4149,1528.9663,1597.8202,  53
"Belmont", 933.1852,  6, 784.7534, 824.4681, 857.8199, 896.1538, 938.7755, 171
"Berkeley",NA,NA, 477.1819, 482.9859, 488.7898, 494.5938, 500.3977,   2
"Brisbane", 576.7857,  1, 571.6823, 610.2564, 654.7206, 785.4545, 795.8095,  26
"Burlingame", 993.0441, 11, 903.8418, 941.5676, 978.7484,1016.3022,1089.7996, 115
"Campbell", 663.6637, 17, 628.7077, 662.4686, 694.2491, 723.8551, 771.5721, 248
"Castro Valley",NA,NA, 418.7960, 507.1420, 524.1964, 527.9107, 538.6311,  20
"Colma",NA,NA, 591.2324, 617.3697, 643.5070, 669.6443, 695.7816,   2
"Cupertino", 917.9004, 21, 887.6338, 939.3801,1013.9050,1067.8122,1120.6584, 199
"Daly City",NA,NA, 555.8062, 586.2565, 623.4100, 656.0849, 684.3705, 272
"Dublin",NA,NA, 457.2528, 492.5113, 536.8339, 555.3846, 569.1267,   7
"East Palo Alto", 515.9574,  1, 611.3107, 641.3110, 656.7797, 680.2948, 695.2446,  85
"El Granada", 555.5556,  5, 479.8962, 507.8512, 541.0828, 558.0233, 582.9084,  47
"Emeryville",NA,NA, 697.8438, 724.4145, 750.9851, 777.5558, 804.1264,   2
"Foster City",NA,NA, 722.7513, 754.6896, 777.2277, 819.0760, 868.4203,  57
"Fremont", 543.6508,  1, 554.0000, 586.0800, 609.4865, 632.9597, 659.5006, 340
"Gilroy", 309.0295, 17, 317.0736, 333.3442, 350.8802, 368.4211, 395.7322, 336
"Half Moon Bay", 562.5351,  8, 481.8539, 513.7147, 542.8426, 577.0451, 611.0245,  72
"Hayward",NA,NA, 386.9705, 412.3228, 440.5475, 461.4693, 473.7111,  75
"Hillsborough",1127.2084,  4, 915.7179, 969.4521,1025.9372,1066.6750,1117.2872,  98
"La Honda", 733.3333,  1, 566.8642, 578.9321, 591.0000, 619.4667, 647.9333,   3
"Livermore",NA,NA, 399.0708, 417.0044, 437.4159, 446.1796, 458.6149,  23
"Los Altos",1153.6433, 25,1046.9786,1117.0375,1165.6502,1241.8465,1312.8094, 246
"Los Altos Hills",1307.3730,  6, 974.2700,1015.6811,1098.9796,1156.7759,1257.0417,  85
"Los Gatos", 813.1387, 15, 714.8815, 769.3346, 828.2781, 878.3601, 941.3571, 277
"Menlo Park",1121.3491, 37, 969.7631,1047.3738,1133.1704,1204.4665,1265.7648, 244
"Millbrae", 771.9524,  3, 775.1476, 827.0387, 855.3241, 887.5556, 922.7736, 120
"Milpitas", 483.0633,  1, 516.5781, 545.0781, 572.2461, 596.3762, 628.9189, 219
"Montara",NA,NA, 493.8796, 547.4974, 600.5370, 647.0707, 675.0694,  22
"Monte Sereno", 960.4058,  1, 750.6463, 877.9631, 960.4058, 983.3795,1098.6127,  31
"Morgan Hill", 392.3009,  5, 380.0110, 401.1319, 424.9339, 442.4568, 477.0818, 225
"Moss Beach",NA,NA, 478.2609, 534.9036, 540.1709, 596.7105, 684.0000,  21
"Mount Hamilton",NA,NA, 337.2740, 337.2740, 337.2740, 337.2740, 337.2740,   1
