"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"65 Selby Lane","Atherton","  40075","10800000","10653.778","16224028.1","-629.6901"," 2"
"485 Summit Springs Road","Woodside","  55757"," 2399000"," 6189.917"," 8352576.2","-538.9111"," 0"
"15545 Swiss Creek Lane","Cupertino"," 435164"," 1649999"," 3096.300"," 3046538.1","-483.9289"," 4"
"625 Easton Avenue","San Bruno","   6994","  898000"," 1484.000"," 1023613.7","-462.1367"," 0"
"340 Jane Drive","Woodside"," 136778"," 5750000"," 8562.500","11554101.3","-459.9796"," 0"
"254 W 3rd Avenue","San Mateo","   8010"," 2598000"," 3361.500"," 3344078.2","-433.6941"," 1"
"6 TUSCALOOSA Avenue","Atherton","  17000"," 4685000"," 4519.382"," 6882307.6","-420.4897"," 0"
"1742 Eisenhower Drive","Santa Clara","   6000","  939000"," 1900.495"," 1414059.1","-404.4454","27"
"3120 Alexis Drive","Palo Alto","  27873"," 9988000"," 5732.000"," 7800000.0","-394.3390"," 0"
"2577 Ramona Street","Palo Alto","   8070"," 4980000"," 3015.000"," 4167180.0","-391.3017"," 4"
"28 Sneckner Court","Menlo Park","  10890"," 2998000"," 5178.195"," 4550000.0","-379.9714"," 1"
"121 Springdale Way","Redwood City","  26700"," 2150000"," 3638.800"," 2835302.8","-365.7247"," 0"
"810 Miranda Green Street","Palo Alto","   8343"," 2988000"," 2732.876"," 3684416.9","-363.9932"," 0"
"15040 Montebello Road","Cupertino","  73468"," 1599000"," 3096.300"," 3046538.1","-362.7165"," 4"
"444 Monterey Road","Pacifica","   6000","  799950"," 1580.000"," 1200000.0","-360.4670"," 1"
"603 Bernal Avenue","Sunnyvale","   6032"," 1199999"," 2070.800"," 1875724.6","-349.9847","45"
"25561 Big Basin","Saratoga"," 435600"," 1998000"," 4800.000"," 4327573.3","-349.0335"," 2"
"1023 Forest Avenue","Palo Alto","   9984"," 4995000"," 3797.914"," 6065298.8","-348.2581"," 0"
"2073 Edgewood Drive","Palo Alto","   7560"," 3750000"," 2976.900"," 4628963.3","-335.0521"," 1"
"84 Nora Way","Atherton","  40260"," 7858620","10702.960","16298923.8","-334.8426"," 2"
"931 Laurel Glen Drive","Palo Alto"," 190793"," 8500000"," 5732.000"," 7800000.0","-323.0651"," 0"
"1232 Richardson Avenue","Los Altos","  20013"," 4275000"," 3537.200"," 4073550.9","-316.1810"," 4"
"27210 Carrington Circle","Los Altos Hills","  57935"," 4250000"," 5696.800"," 6266629.3","-302.0540"," 0"
"1162 Cordelia Avenue","San Jose","   9000"," 1299000"," 3096.300"," 3046538.1","-300.2444"," 4"
"304 Oakwood Place","Menlo Park","   6954"," 2095000"," 2139.000"," 2419648.9","-293.2057"," 0"
"1092 Metro Circle","Palo Alto","  11552"," 2990000"," 2400.800"," 3312564.0","-292.5023"," 5"
"795 Ames Avenue","Palo Alto","   7020"," 2888000"," 2292.630"," 3163313.0","-292.4257"," 3"
