"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"1.0544375","ML81631441","0.2695251"," 4800.000","  519000"," 901.5778"," 1959000.0"," 4327573","2065643.1","  88426","76","128","17320 Stevens Canyon Road","17","95014","Cupertino","Santa Clara"," 993"," 862","  862","33774","267","217"," 217","9210"," 2","ML81631190, ML81627495"
"0.8170637","ML81640235","0.2336646","10549.955"," 4488000","1417.3187"," 7652986.6","14952649","6252977.3","  45150","44","37","375 Walsh Road","290","94027","Atherton","San Mateo","  35"," 255","  251","13995","  6"," 60","  57","3784"," 0",""
"0.8020314","ML81642591","0.1085430"," 6052.031"," 2399000","1349.3841"," 4214609.3"," 8166515","3380249.2","  55757","56","6","485 Summit Springs Road","274","94062","Woodside","San Mateo","  79"," 900","  264","13995"," 19","228","  57","3784"," 0",""
"0.7651396","ML81644918","0.2658460","11705.199"," 5880000","1522.8426"," 9391559.8","17825177","7185854.6","  44030","78","4","40 Selby Lane","291","94027","Atherton","San Mateo"," 103"," 255","  251","13995"," 25"," 60","  57","3784"," 3","ML81615037, ML81611989, ML81549406"
"0.7309892","ML81645075","0.2336646","10808.800"," 4988000","1417.3187"," 8230640.0","15319515","6016508.8","  56823","56","2","395 Atherton Avenue","290","94027","Atherton","San Mateo","  35"," 255","  251","13995","  6"," 60","  57","3784"," 0",""
"0.6871799","ML81643527","0.2658460","11586.632"," 6250000","1522.8426"," 9725989.6","17644617","6683504.6","  43584","52","7","134 Stockbridge Avenue","291","94027","Atherton","San Mateo"," 103"," 255","  251","13995"," 25"," 60","  57","3784"," 1","ML81615037"
"0.5677501","ML81644781","0.2336646","10808.800"," 5845000","1417.3187"," 9087640.0","15319515","5159508.8","  53893","117","5","399 Atherton Avenue","290","94027","Atherton","San Mateo","  35"," 255","  251","13995","  6"," 60","  57","3784"," 0",""
"0.4602599","ML81633229","0.2336646"," 9873.029"," 5950000","1417.3187"," 8911908.7","13993229","4101794.4","  42253","66","98","349 Fletcher Drive","290","94027","Atherton","San Mateo","  35"," 255","  251","13995","  6"," 60","  57","3784"," 0",""
"0.4511350","ML81643702","0.3887108"," 3947.747"," 1598000","1099.7229"," 2782324.2"," 4341428","1255203.9","  10156","54","2","2323 Blueridge Avenue","301","94025","Menlo Park","San Mateo","  66","1030"," 1035","13995"," 13","262"," 265","3784"," 1","ML81590261"
"0.3824527","ML81643416","0.1141938"," 5727.400"," 2488000","1091.6962"," 4206220.0"," 6252581","1608680.3","  63162","63","7","27447 Edgerton Road","221","94022","Los Altos Hills","Santa Clara"," 298"," 565","  292","33774"," 84","151","  83","9210"," 0",""
"0.3693471","ML81643031","0.2658460","10702.960"," 7858620","1522.8426","11069508.0","16298924","4088491.2","  40260","8","2","84 Nora Way","291","94027","Atherton","San Mateo"," 103"," 255","  251","13995"," 25"," 60","  57","3784"," 2","ML81615037, ML81472163"
"0.3531124","ML81643962","0.3362000"," 4014.228"," 2295000","1268.3121"," 3499268.4"," 5091294","1235635.0","  11940","70","3","260 Santa Margarita Avenue","307","94025","Menlo Park","San Mateo","  65","1030"," 1035","13995"," 20","262"," 265","3784"," 0",""
"0.3385506","ML81645073","0.1537972"," 5851.000"," 3150000","1206.6667"," 4905300.0"," 7060207","1660692.2","  43560","53","2","41 Stonegate Road","263","94028","Portola Valley","San Mateo","  76"," 218","  217","13995"," 19"," 64","  64","3784"," 0",""
