"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","compPropCount"
"40 Selby Lane","Atherton","  44030"," 5880000","11705.199","17825177","913.9028","0.7651396265"," 3"
"375 Walsh Road","Atherton","  45150"," 4488000","10549.955","14952649","892.7018","0.8170636722"," 0"
"134 Stockbridge Avenue","Atherton","  43584"," 6250000","11586.632","17644617","876.8289","0.6871798981"," 1"
"485 Summit Springs Road","Woodside","  55757"," 2399000"," 6052.031"," 8166515","858.5314","0.8020314404"," 0"
"395 Atherton Avenue","Atherton","  56823"," 4988000","10808.800","15319515","856.6306","0.7309891781"," 0"
"399 Atherton Avenue","Atherton","  53893"," 5845000","10808.800","15319515","777.3433","0.5677501275"," 0"
"17320 Stevens Canyon Road","Cupertino","  88426","  519000"," 4800.000"," 4327573","730.3423","1.0544375321"," 2"
"349 Fletcher Drive","Atherton","  42253"," 5950000"," 9873.029","13993229","715.4545","0.4602599157"," 0"
"84 Nora Way","Atherton","  40260"," 7858620","10702.960","16298924","681.9963","0.3693471454"," 2"
"1127 High Street","Palo Alto","   8000"," 4000000"," 4317.400"," 7216226","627.9450","0.2673864191"," 0"
"2323 Blueridge Avenue","Menlo Park","  10156"," 1598000"," 3947.747"," 4341428","617.9545","0.4511350349"," 1"
"260 Santa Margarita Avenue","Menlo Park","  11940"," 2295000"," 4014.228"," 5091294","607.8139","0.3531123750"," 0"
"41 Stonegate Road","Portola Valley","  43560"," 3150000"," 5851.000"," 7060207","583.8305","0.3385505881"," 0"
"27447 Edgerton Road","Los Altos Hills","  63162"," 2488000"," 5727.400"," 6252581","580.8745","0.3824527309"," 0"
"340 Jane Drive","Woodside"," 136778"," 5750000"," 8504.000","11475162","578.7748","0.2855853380"," 0"
"19765 Skyline Boulevard","Portola Valley","1193544"," 3198000"," 5851.000"," 7060207","575.6268","0.3255793511"," 0"
"84 Edge Road","Atherton","  45770"," 4985000"," 6656.000"," 9433674","569.1581","0.2565980680"," 0"
"668 Partridge Avenue","Menlo Park","   8460"," 2498000"," 3372.000"," 4718227","560.4838","0.2502711008"," 1"
"1319 Westridge Drive","Portola Valley","  49223"," 3350000"," 5851.000"," 7060207","549.6483","0.2861129023"," 0"
"2131 Hanover Street","Palo Alto","   3125"," 1488000"," 1560.848"," 2500516","536.5542","0.1887408480"," 4"
