"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"0.8361937","ML81640235","0.2336646","10549.955"," 4488000","1432.2402"," 7652987","15110070","6399378.8"," 45150","44","37","375 Walsh Road","290","94027","Atherton","San Mateo"," 35","255"," 251","12830"," 6"," 59"," 56","3413","0",""
"0.8336418","ML81642591","0.1110160"," 6189.917"," 2399000","1355.6444"," 4255975"," 8391327","3547959.0"," 55757","56","6","485 Summit Springs Road","274","94062","Woodside","San Mateo"," 76","869"," 247","12830","18","219"," 51","3413","0",""
"0.7834741","ML81644918","0.2658460","11705.199"," 5880000","1538.6603"," 9391560","18010326","7358043.4"," 44030","78","4","40 Selby Lane","291","94027","Atherton","San Mateo","103","255"," 251","12830","24"," 59"," 56","3413","3","ML81611989, ML81578292, ML81549406"
"0.7492130","ML81645075","0.2336646","10808.800"," 4988000","1432.2402"," 8230640","15480798","6166502.2"," 56823","56","2","395 Atherton Avenue","290","94027","Atherton","San Mateo"," 35","255"," 251","12830"," 6"," 59"," 56","3413","0",""
"0.7047046","ML81643527","0.2658460","11586.632"," 6250000","1538.6603"," 9725990","17827891","6853949.3"," 43584","52","7","134 Stockbridge Avenue","291","94027","Atherton","San Mateo","103","255"," 251","12830","24"," 59"," 56","3413","1","ML81615037"
"0.5842553","ML81644781","0.2336646","10808.800"," 5845000","1432.2402"," 9087640","15480798","5309502.2"," 53893","117","5","399 Atherton Avenue","290","94027","Atherton","San Mateo"," 35","255"," 251","12830"," 6"," 59"," 56","3413","0",""
"0.4756335","ML81633229","0.2336646"," 9873.029"," 5950000","1432.2402"," 8911909","14140549","4238802.2"," 42253","66","98","349 Fletcher Drive","290","94027","Atherton","San Mateo"," 35","255"," 251","12830"," 6"," 59"," 56","3413","0",""
"0.3835705","ML81643031","0.2658460","10702.960"," 7858620","1538.6603","11069508","16468220","4245936.6"," 40260","8","2","84 Nora Way","291","94027","Atherton","San Mateo","103","255"," 251","12830","24"," 59"," 56","3413","2","ML81615037, ML81472163"
"0.2976909","ML81642496","0.1110160"," 8562.500"," 5750000","1355.6444"," 8318750","11607705","2476416.1","136778","30","7","340 Jane Drive","274","94062","Woodside","San Mateo"," 76","869"," 247","12830","18","219"," 51","3413","0",""
"0.2698275","ML81637875","0.1634046"," 6656.000"," 4985000","1432.2402"," 6981800"," 9532991","1883881.5"," 45770","57","35","84 Edge Road","293","94027","Atherton","San Mateo"," 46","255"," 251","12830"," 9"," 59"," 56","3413","0",""
"0.2673864","ML81642676","0.5519087"," 4317.400"," 4000000","1671.4286"," 5295220"," 7216226","1415869.9","  8000","93","6","1127 High Street","241","94301","Palo Alto","Santa Clara"," 33","345","1115","29572","11"," 99","321","7942","0",""
"0.2158427","ML81643932","0.1634046"," 6656.000"," 5295000","1432.2402"," 7291800"," 9532991","1573881.5"," 40915","61","4","250 Catalpa Drive","293","94027","Atherton","San Mateo"," 46","255"," 251","12830"," 9"," 59"," 56","3413","0",""
"0.1934805","ML81644310","0.5020929"," 1569.040"," 1488000","1602.0236"," 1958712"," 2513639"," 378972.6","  3125","49","7","2131 Hanover Street","236","94306","Palo Alto","Santa Clara"," 72","444","1115","29572","19","124","321","7942","4","ML81639514, ML81635868, ML81613252, ML81578260"
"0.1287587","ML81641159","0.1110160"," 8562.500"," 6995000","1355.6444"," 9563750","11607705","1231416.1","136778","20","7","100 Phillip Road","274","94062","Woodside","San Mateo"," 76","869"," 247","12830","18","219"," 51","3413","0",""
"0.1234042","ML81645041","0.1634046"," 6656.000"," 5895000","1432.2402"," 7891800"," 9532991"," 973881.5"," 41125","63","2","175 Greenoaks Drive","293","94027","Atherton","San Mateo"," 46","255"," 251","12830"," 9"," 59"," 56","3413","0",""
"0.1228919","ML81645109","0.1450182"," 1812.728","  529000"," 714.5763"," 1072818"," 1295332"," 131840.7"," 12500","92","2","1 Fremont Way","273","94062","Woodside","San Mateo"," 63","869"," 247","12830","19","219"," 51","3413","2","ML81638304, ML81588189"
"0.1135868","ML81643754","0.2658460","11165.532","10998000","1538.6603","14347660","17179961","1629704.4"," 42000","16","5","83 Tuscaloosa Avenue","291","94027","Atherton","San Mateo","103","255"," 251","12830","24"," 59"," 56","3413","1","ML81615037"
"0.1107883","ML81644314","0.5732290"," 3783.312"," 3988000","1617.3352"," 5122993"," 6118883"," 567567.7","  6600","81","7","2151 Byron Street","237","94301","Palo Alto","Santa Clara","109","345","1115","29572","28"," 99","321","7942","0",""
"0.1051401","ML81642848","0.2658460","11962.000","11900000","1538.6603","15488600","18405455","1628473.1"," 49658","65","5","222 Camino Al Lago","291","94027","Atherton","San Mateo","103","255"," 251","12830","24"," 59"," 56","3413","2","ML81611989, ML81578292"
