"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount"
"65 Selby Lane","Atherton"," 40075","10800000","10656.864","16565861.4","-661.3255"," 0.100677708"," 25"," 61","  58","3418"
"485 Summit Springs Road","Woodside"," 55757"," 2399000"," 6189.917"," 8352576.2","-538.9111"," 0.825174116"," 19","223","  54","3418"
"511 Corbitt Drive","Burlingame","  6250","  949000"," 2450.800"," 2280000.0","-519.5569"," 0.258965468","  2","253"," 153","3418"
"15545 Swiss Creek Lane","Cupertino","435164"," 1649999"," 3084.400"," 3025484.2","-480.8991"," 0.092563811","335","202"," 202","7981"
"340 Jane Drive","Woodside","136778"," 5750000"," 8562.500","11554101.3","-459.9796"," 0.291698182"," 19","223","  54","3418"
"6 TUSCALOOSA Avenue","Atherton"," 17000"," 4685000"," 4520.691"," 7027314.9","-452.1251"," 0.081804102"," 25"," 61","  58","3418"
"598 Hamilton Avenue","Menlo Park","  6800","  995000"," 1790.000"," 1400000.0","-437.8322","-0.150130548"," 29","249"," 252","3418"
"1425 San Raymundo Road","Hillsborough"," 24960"," 3998000"," 5443.503"," 5747472.7","-419.2166","-0.050772277"," 17","253"," 100","3418"
"2577 Ramona Street","Palo Alto","  8070"," 4980000"," 2974.500"," 4177105.0","-413.4573","-0.338474771"," 48"," 99"," 320","7981"
"3120 Alexis Drive","Palo Alto"," 27873"," 9988000"," 5732.000"," 7800000.0","-393.3882","-0.380402474","  2"," NA"," 320","7981"
"28 Sneckner Court","Menlo Park"," 10890"," 2998000"," 5178.195"," 4550000.0","-379.9714","-0.070298015","  2","249"," 252","3418"
"121 Springdale Way","Redwood City"," 26700"," 2150000"," 3640.000"," 2846445.5","-368.5290","-0.183468750"," 93","223"," 479","3418"
"84 Nora Way","Atherton"," 40260"," 7858620","10706.060","16642335.1","-366.4780"," 0.398081239"," 25"," 61","  58","3418"
"810 Miranda Green Street","Palo Alto","  8343"," 2988000"," 2732.876"," 3681644.4","-362.9786","-0.100826529","  2","124"," 320","7981"
"15040 Montebello Road","Cupertino"," 73468"," 1599000"," 3084.400"," 3025484.2","-359.6867"," 0.114636949","335","202"," 202","7981"
"1023 Forest Avenue","Palo Alto","  9984"," 4995000"," 3797.914"," 6065298.8","-348.2581","-0.080472134"," 18"," 99"," 320","7981"
"25561 Big Basin","Saratoga","435600"," 1998000"," 4800.000"," 4323786.6","-348.2446"," 0.169610693","260","258"," 258","7981"
"603 Bernal Avenue","Sunnyvale","  6032"," 1199999"," 2068.815"," 1867380.0","-346.8204","-0.046126548","482"," 60"," 482","7981"
"2073 Edgewood Drive","Palo Alto","  7560"," 3750000"," 2979.600"," 4633161.7","-335.0521","-0.072146482"," 40","184"," 320","7981"
"33 Reddy Street","San Francisco","  2500","  825000"," 2200.000"," 1457182.2","-330.4971","-0.087421242","176"," 11"," 156"," 156"
"931 Laurel Glen Drive","Palo Alto","190793"," 8500000"," 5732.000"," 7800000.0","-322.1143","-0.290187483","  2"," NA"," 320","7981"
"2032 Idaho Court","Redwood City","  7680"," 1200000"," 2000.000"," 1755120.5","-316.8126","-0.093187720","126","244"," 479","3418"
