"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount"
"1.0526399","ML81631441"," 0.2635572"," 4800.000","  519000"," 900.7889"," 1959000"," 4323787","2062121.6","  88426","76","128","17320 Stevens Canyon Road","17","95014","Cupertino","Santa Clara"," 944","801","  801","29134","260","202"," 202","7981"
"0.8251741","ML81642591"," 0.1110160"," 6189.917"," 2399000","1349.3841"," 4255975"," 8352576","3511920.6","  55757","56","6","485 Summit Springs Road","274","94062","Woodside","San Mateo","  76","859","  246","12666"," 19","223","  54","3418"
"0.7235850","ML81640235"," 0.2336646","10549.955"," 4988000","1432.2402"," 8152987","15110070","5899378.8","  45150","44","14","375 Walsh Road","290","94027","Atherton","San Mateo","  35","252","  248","12666","  7"," 61","  58","3418"
"0.4913495","ML81634924"," 0.1139545"," 5509.815"," 2100000","1092.2740"," 3752945"," 6018228","1844007.3","  48351","40","66","14486 Liddicoat Circle","221","94022","Los Altos Hills","Santa Clara"," 292","545","  286","29134"," 88","151","  87","7981"
"0.4756335","ML81633229"," 0.2336646"," 9873.029"," 5950000","1432.2402"," 8911909","14140549","4238802.2","  42253","66","98","349 Fletcher Drive","290","94027","Atherton","San Mateo","  35","252","  248","12666","  7"," 61","  58","3418"
"0.3980812","ML81643031"," 0.2659230","10706.060"," 7858620","1554.4780","11070438","16642335","4406933.7","  40260","8","2","84 Nora Way","291","94027","Atherton","San Mateo"," 102","252","  248","12666"," 25"," 61","  58","3418"
"0.3788035","ML81643416"," 0.1139545"," 5696.800"," 2488000","1092.2740"," 4197040"," 6222466","1589853.7","  63162","63","0","27447 Edgerton Road","221","94022","Los Altos Hills","Santa Clara"," 292","545","  286","29134"," 88","151","  87","7981"
"0.3555078","ML81643024"," 0.3567023"," 4644.264"," 1999000","1064.6179"," 3392279"," 4944367","1205981.8","  13020","67","2","1 Holbrook Lane","292","94027","Atherton","San Mateo","  65","252","  248","12666"," 14"," 61","  58","3418"
"0.3516865","ML81636361"," 0.3567023"," 5313.437"," 2298000","1064.6179"," 3892031"," 5656781","1368774.9","  14896","62","50","91 Belleau Avenue","292","94027","Atherton","San Mateo","  65","252","  248","12666"," 14"," 61","  58","3418"
"0.3480798","ML81637875"," 0.1634046"," 6656.000"," 4985000","1520.5011"," 6981800","10120456","2430223.7","  45770","57","35","84 Edge Road","293","94027","Atherton","San Mateo","  46","252","  248","12666"," 11"," 61","  58","3418"
"0.2960880","ML81643023"," 0.1551724"," 5700.000"," 3198000","1200.0000"," 4908000"," 6840000","1453200.0","1193544","37","2","19765 Skyline Boulevard","263","94028","Portola Valley","San Mateo","  71","181","  180","12666"," 17"," 50","  50","3418"
"0.2917299","ML81633249","10.1850000"," 1952.500","  549000"," 807.2311"," 1134750"," 1576119"," 331040.5"," 260140","46","98","150 Back Road","556","94020","La Honda","San Mateo","  10"," 23","   24","12666","  1","  3","   3","3418"
"0.2916982","ML81642496"," 0.1110160"," 8562.500"," 5750000","1349.3841"," 8318750","11554101","2426564.2"," 136778","30","7","340 Jane Drive","274","94062","Woodside","San Mateo","  76","859","  246","12666"," 19","223","  54","3418"
"0.2826673","ML81642051"," 0.4498847"," 4723.789"," 2995000","1288.2184"," 4412137"," 6085273","1247166.7","  10500","62","6","1350 Elder Avenue","303","94025","Menlo Park","San Mateo"," 139","969","  974","12666"," 38","249"," 252","3418"
