"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"65 Selby Lane","Atherton","  40075","10800000","10653.778","16224028.1","-629.6901"," 2"
"485 Summit Springs Road","Woodside","  55757"," 2399000"," 6189.917"," 8391327.1","-545.1715"," 0"
"15545 Swiss Creek Lane","Cupertino"," 435164"," 1649999"," 3095.000"," 3040059.2","-482.2488"," 4"
"340 Jane Drive","Woodside"," 136778"," 5750000"," 8562.500","11607705.4","-466.2399"," 0"
"625 Easton Avenue","San Bruno","   6994","  898000"," 1484.000"," 1023613.7","-462.1367"," 0"
"6 TUSCALOOSA Avenue","Atherton","  17000"," 4685000"," 4519.382"," 6882307.6","-420.4897"," 0"
"2577 Ramona Street","Palo Alto","   8070"," 4980000"," 2998.000"," 4198316.6","-409.5248"," 4"
"1742 Eisenhower Drive","Santa Clara","   6000","  939000"," 1900.709"," 1415447.8","-405.0924","27"
"789 Northampton Drive","Palo Alto","  11658"," 8295000"," 2974.200"," 4624764.9","-399.8294"," 1"
"3120 Alexis Drive","Palo Alto","  27873"," 9988000"," 5732.000"," 7800000.0","-394.9117"," 0"
"810 Miranda Green Street","Palo Alto","   8343"," 2988000"," 2732.876"," 3724767.7","-378.7581"," 0"
"444 Monterey Road","Pacifica","   6000","  799950"," 1580.000"," 1200000.0","-372.5549"," 1"
"121 Springdale Way","Redwood City","  26700"," 2150000"," 3638.500"," 2845272.5","-368.5290"," 0"
"503 Ivy Drive","Menlo Park","   5760","  795000"," 1790.000"," 1376707.3","-365.5569"," 2"
"15040 Montebello Road","Cupertino","  73468"," 1599000"," 3095.000"," 3040059.2","-361.0364"," 4"
"3861 Corina Way","Palo Alto","   8700"," 2450000"," 2394.000"," 3303181.5","-358.5162"," 5"
"603 Bernal Avenue","Sunnyvale","   6032"," 1199999"," 2070.664"," 1882421.4","-353.2785","45"
"25561 Big Basin","Saratoga"," 435600"," 1998000"," 4800.000"," 4339990.7","-351.6205"," 2"
"1023 Forest Avenue","Palo Alto","   9984"," 4995000"," 3797.914"," 6065298.8","-348.2581"," 0"
"709 Canyon Drive","Pacifica","   8570","  929000"," 2012.000"," 1572927.5","-346.2363"," 0"
"431 Fernwood Drive","San Bruno","   5600","  849000"," 1708.000"," 1151000.0","-339.2817"," 4"
"2073 Edgewood Drive","Palo Alto","   7560"," 3750000"," 2974.200"," 4624764.9","-335.0521"," 1"
"84 Nora Way","Atherton","  40260"," 7858620","10702.960","16298923.8","-334.8426"," 2"
"931 Laurel Glen Drive","Palo Alto"," 190793"," 8500000"," 5732.000"," 7800000.0","-323.6378"," 0"
"586 S Almaden Avenue","San Jose","   5200","  625000"," 2032.329"," 1152114.1","-316.9934","15"
"27210 Carrington Circle","Los Altos Hills","  57935"," 4250000"," 5696.400"," 6260227.3","-301.0074"," 0"
"514 S Humboldt Street","San Mateo","   7000"," 1025000"," 1933.500"," 1638452.9","-296.3273"," 0"
"304 Oakwood Place","Menlo Park","   6954"," 2095000"," 2139.000"," 2419648.9","-293.2057"," 0"
"1092 Metro Circle","Palo Alto","  11552"," 2990000"," 2394.000"," 3303181.5","-292.5023"," 5"
"161 Willow Road","Menlo Park","   8660"," 2798000"," 2517.815"," 3276197.9","-289.6378"," 3"
"2883 Kipling Street","Palo Alto","   6555"," 2588000"," 2570.962"," 3600304.1","-287.7327"," 2"
"1127 High Street","Palo Alto","   8000"," 4000000"," 4317.400"," 7216225.7","-287.3455"," 0"
"15461 NATIONAL Avenue","Los Gatos","   6970"," 1599000"," 2383.271"," 2077126.2","-285.6153","25"
"1865 Camino De Los Robles","Menlo Park","  14400"," 4680000"," 3324.400"," 3951073.4","-285.2067"," 5"
"5766 W Walbrook Drive","San Jose","   7700"," 1698000"," 2919.176"," 2867355.9","-282.9075"," 2"
"21740 Rainbow Drive","Cupertino","  69696"," 3300000"," 3095.000"," 3040059.2","-282.2061"," 4"
"17017 BOHLMAN Road","Saratoga"," 290999"," 1678000"," 4800.000"," 4339990.7","-281.9920"," 2"
