"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"1.0508423","ML81631441","0.2693778"," 4800.000","  519000"," 900.0000"," 1959000.0"," 4320000","2058600.0","  88426","76","152","17320 Stevens Canyon Road","17","95014","Cupertino","Santa Clara"," 996"," 864","  864","33963","265","216"," 216","9215"," 2","ML81631190, ML81627495"
"0.8474912","ML81640235","0.2336646","10549.955"," 4488000","1441.0524"," 7652986.6","15203038","6485838.7","  45150","44","37","375 Walsh Road","290","94027","Atherton","San Mateo","  35"," 256","  252","14075","  6"," 58","  55","3795"," 0",""
"0.8014817","ML81644918","0.2657690","11701.809"," 5880000","1554.4780"," 9390542.7","18190205","7526348.2","  44030","78","4","40 Selby Lane","291","94027","Atherton","San Mateo"," 104"," 256","  252","14075"," 25"," 58","  55","3795"," 3","ML81611989, ML81578292, ML81549406"
"0.7599753","ML81645075","0.2336646","10808.800"," 4988000","1441.0524"," 8230640.0","15576047","6255083.5","  56823","56","2","395 Atherton Avenue","290","94027","Atherton","San Mateo","  35"," 256","  252","14075","  6"," 58","  55","3795"," 0",""
"0.7219086","ML81643527","0.2657690","11583.276"," 6250000","1554.4780"," 9724982.8","18005948","7020549.1","  43584","52","7","134 Stockbridge Avenue","291","94027","Atherton","San Mateo"," 104"," 256","  252","14075"," 25"," 58","  55","3795"," 1","ML81578292"
"0.5940028","ML81644781","0.2336646","10808.800"," 5845000","1441.0524"," 9087640.0","15576047","5398083.5","  53893","117","5","399 Atherton Avenue","290","94027","Atherton","San Mateo","  35"," 256","  252","14075","  6"," 58","  55","3795"," 0",""
"0.5560988","ML81646095","0.2657690","11109.144"," 6988000","1554.4780","10320743.3","17268921","5739353.0","  41800","65","2","147 Almendral Avenue","291","94027","Atherton","San Mateo"," 104"," 256","  252","14075"," 25"," 58","  55","3795"," 1","ML81615037"
"0.4847126","ML81633229","0.2336646"," 9873.029"," 5950000","1441.0524"," 8911908.7","14227552","4319714.5","  42253","66","98","349 Fletcher Drive","290","94027","Atherton","San Mateo","  35"," 256","  252","14075","  6"," 58","  55","3795"," 0",""
"0.3975064","ML81643031","0.2657690","10699.860"," 7858620","1554.4780","11068578.0","16632697","4399830.5","  40260","8","2","84 Nora Way","291","94027","Atherton","San Mateo"," 104"," 256","  252","14075"," 25"," 58","  55","3795"," 2","ML81615037, ML81472163"
"0.3385506","ML81645073","0.1537972"," 5851.000"," 3150000","1206.6667"," 4905300.0"," 7060207","1660692.2","  43560","53","2","41 Stonegate Road","263","94028","Portola Valley","San Mateo","  76"," 218","  217","14075"," 19"," 63","  63","3795"," 0",""
"0.3255794","ML81643023","0.1537972"," 5851.000"," 3198000","1206.6667"," 4953300.0"," 7060207","1612692.2","1193544","37","2","19765 Skyline Boulevard","263","94028","Portola Valley","San Mateo","  76"," 218","  217","14075"," 19"," 63","  63","3795"," 0",""
"0.2964377","ML81645782","0.3660146"," 2170.800"," 1088000","1116.8849"," 1739240.0"," 2424534"," 515576.4","   6250","72","6","515 Bay Road","309","94025","Menlo Park","San Mateo","  84","1036"," 1041","14075"," 28","263"," 266","3795"," 0",""
"0.2885183","ML81645500","0.2693778"," 4800.000"," 1678000"," 900.0000"," 3118000.0"," 4320000"," 899600.0"," 290999","37","7","17017 BOHLMAN Road","17","95070","Saratoga","Santa Clara"," 996"," 980","  980","33963","265","262"," 262","9215"," 2","ML81631190, ML81627495"
"0.2861129","ML81640239","0.1537972"," 5851.000"," 3350000","1206.6667"," 5105300.0"," 7060207","1460692.2","  49223","58","14","1319 Westridge Drive","263","94028","Portola Valley","San Mateo","  76"," 218","  217","14075"," 19"," 63","  63","3795"," 0",""
"0.2855853","ML81642496","0.1085430"," 8504.000"," 5750000","1349.3841"," 8301200.0","11475162","2370701.0"," 136778","30","7","340 Jane Drive","274","94062","Woodside","San Mateo","  79"," 904","  264","14075"," 19","228","  56","3795"," 0",""
"0.2776403","ML81637875","0.1634046"," 6656.000"," 4985000","1441.0524"," 6981800.0"," 9591645","1938429.4","  45770","57","35","84 Edge Road","293","94027","Atherton","San Mateo","  46"," 256","  252","14075","  8"," 58","  55","3795"," 0",""
"0.2699755","ML81636375","0.5287731"," 3324.000"," 2498000","1435.8974"," 3495200.0"," 4772923"," 943618.5","   8460","11","49","668 Partridge Avenue","304","94025","Menlo Park","San Mateo","  88","1036"," 1041","14075"," 25","263"," 266","3795"," 1","ML81585663"
"0.2673864","ML81642676","0.5519087"," 4317.400"," 4000000","1671.4286"," 5295220.0"," 7216226","1415869.9","   8000","93","6","1127 High Street","241","94301","Palo Alto","Santa Clara","  33"," 352"," 1143","33963"," 11","103"," 333","9215"," 0",""
"0.2415318","ML81645087","0.2893479"," 3536.200"," 1995000","1153.6433"," 3055860.0"," 4079513"," 738087.4","  13692","57","2","2066 Louise Lane","214","94024","Los Altos","Santa Clara"," 410"," 671","  949","33963","117","190"," 263","9215"," 4","ML81636059, ML81634673, ML81614406, ML81578713"
"0.2258059","ML81645059","0.2623762"," 6487.000"," 3025000","1010.0605"," 4971100.0"," 6552262","1122503.8","  42400","59","2","731 El Cerrito Avenue","441","94010","Hillsborough","San Mateo","  28","1011","  389","14075","  7","268"," 107","3795"," 0",""
"0.2233234","ML81643932","0.1634046"," 6656.000"," 5295000","1441.0524"," 7291800.0"," 9591645","1628429.4","  40915","61","4","250 Catalpa Drive","293","94027","Atherton","San Mateo","  46"," 256","  252","14075","  8"," 58","  55","3795"," 0",""
"0.2163531","ML81645501","0.4591973"," 3822.818"," 2199000","1144.7193"," 3345845.3"," 4376053"," 723884.0","   8325","77","7","207 Felton Drive","306","94025","Menlo Park","San Mateo","   9","1036"," 1041","14075","  1","263"," 266","3795"," 0",""
"0.2123728","ML81645540","0.1141174"," 4970.955"," 2750000","1112.2720"," 4241286.4"," 5529054"," 900733.8","  43560","41","7","10321 Magdalena Road","221","94024","Los Altos Hills","Santa Clara"," 301"," 671","  295","33963"," 84","190","  83","9215"," 6","ML81630444, ML81589560, ML81583694, ML81582697, ML81562567, ML81459009"
"0.2110411","ML81646081","0.3729304"," 4642.000"," 1688000"," 864.1838"," 3080600.0"," 4011541"," 650133.3","  25650","51","2","2750 El Prado Road","471","94010","Burlingame","San Mateo","  83","1011","  621","14075"," 20","268"," 161","3795"," 0",""
"0.2064832","ML81645431","0.3895919"," 2753.246"," 1250000"," 978.1720"," 2075973.7"," 2693148"," 428653.8","   7067","58","7","5103 Englewood Drive","18","95129","San Jose","Santa Clara","1417"," 548","18290","33963","350","134","4946","9215"," 3","ML81638010, ML81634648, ML81601358"
"0.2053498","ML81646102","0.3978996"," 3310.525"," 1195000"," 856.6667"," 2188157.5"," 2836016"," 449337.8","   8320","59","2","108 Las Astas Drive","16","95032","Los Gatos","Santa Clara","1228"," 746"," 1323","33963","303","181"," 339","9215","13","ML81636716, ML81638021, ML81635450, ML81632151, ML81627110, ML81627618, ML81615189, ML81601196, ML81614131, ML81592355, ML81579257, ML81577344, ML81565496"
"0.2025127","ML81645942","0.4150360"," 2490.216","  995000"," 904.5529"," 1742064.8"," 2252532"," 352790.2","   6000","70","5","420 6th Avenue","311","94025","Menlo Park","San Mateo"," 115","1036"," 1041","14075"," 29","263"," 266","3795"," 0",""
"0.1760056","ML81612044","0.1537972"," 5851.000"," 3828000","1206.6667"," 5583300.0"," 7060207"," 982692.2","  58806","58","226","20 Cordova Court","263","94028","Portola Valley","San Mateo","  76"," 218","  217","14075"," 19"," 63","  63","3795"," 0",""
