"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"134 Stockbridge Avenue","Atherton","  43584"," 6250000","11586.632","17827891","891.5394","0.7047045609"," 26"," 61","  58","3417"," 1","ML81615037"
"375 Walsh Road","Atherton","  45150"," 4988000","10549.955","15296006","875.5758","0.7447943904","  6"," 61","  58","3417"," 0",""
"485 Summit Springs Road","Woodside","  55757"," 2399000"," 6189.917"," 8352576","867.3615","0.8251741160"," 19","223","  53","3417"," 0",""
"349 Fletcher Drive","Atherton","  42253"," 5950000"," 9873.029","14314554","745.7221","0.4937917278","  6"," 61","  58","3417"," 0",""
"17320 Stevens Canyon Road","Cupertino","  88426","  519000"," 4800.000"," 4332984","731.3907","1.0570061980","260","207"," 207","7974"," 2","ML81631190, ML81627495"
"84 Nora Way","Atherton","  40260"," 7858620","10702.960","16468220","696.7068","0.3835704936"," 26"," 61","  58","3417"," 2","ML81615037, ML81472163"
"84 Edge Road","Atherton","  45770"," 4985000"," 6656.000","10280763","687.5165","0.3694333403"," 10"," 61","  58","3417"," 0",""
"250 Catalpa Drive","Atherton","  40915"," 5295000"," 6656.000","10280763","640.9420","0.3112139246"," 10"," 61","  58","3417"," 0",""
"1127 High Street","Palo Alto","   8000"," 4000000"," 4317.400"," 7216226","627.9450","0.2673864191"," 11","100"," 321","7974"," 0",""
"2323 Blueridge Avenue","Menlo Park","  10156"," 1598000"," 3893.371"," 4281629","612.3011","0.4395874777"," 13","249"," 252","3417"," 1","ML81590261"
"27447 Edgerton Road","Los Altos Hills","  63162"," 2488000"," 5696.800"," 6266629","586.2880","0.3885894090"," 86","154","  85","7974"," 0",""
"340 Jane Drive","Woodside"," 136778"," 5750000"," 8562.500","11554101","583.3944","0.2916981818"," 19","223","  53","3417"," 0",""
"668 Partridge Avenue","Menlo Park","   8460"," 2498000"," 3668.000"," 4919403","566.2609","0.2714108594"," 22","249"," 252","3417"," 0",""
"1 Holbrook Lane","Atherton","  13020"," 1999000"," 4605.701"," 4931157","561.6900","0.3565126332"," 15"," 61","  58","3417"," 0",""
"91 Belleau Avenue","Atherton","  14896"," 2298000"," 5269.318"," 5641668","559.6078","0.3526754328"," 15"," 61","  58","3417"," 0",""
"19765 Skyline Boulevard","Portola Valley","1193544"," 3198000"," 5700.000"," 6856558","557.6489","0.2992255305"," 16"," 49","  49","3417"," 0",""
