"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount"
"485 Summit Springs Road","Woodside","  55757"," 2399000"," 6189.917"," 8352576","867.3615","0.8251741160"," 19","223","  54","3418"
"375 Walsh Road","Atherton","  45150"," 4988000","10549.955","15110070","859.1852","0.7235850013","  7"," 61","  58","3418"
"17320 Stevens Canyon Road","Cupertino","  88426","  519000"," 4800.000"," 4323787","729.6087","1.0526398993","260","202"," 202","7981"
"349 Fletcher Drive","Atherton","  42253"," 5950000"," 9873.029","14140549","729.3315","0.4756334793","  7"," 61","  58","3418"
"84 Nora Way","Atherton","  40260"," 7858620","10706.060","16642335","711.6298","0.3980812391"," 25"," 61","  58","3418"
"84 Edge Road","Atherton","  45770"," 4985000"," 6656.000","10120456","665.1177","0.3480798204"," 11"," 61","  58","3418"
"14486 Liddicoat Circle","Los Altos Hills","  48351"," 2100000"," 5509.815"," 6018228","634.6768","0.4913494636"," 88","151","  87","7981"
"1127 High Street","Palo Alto","   8000"," 4000000"," 4317.400"," 7216226","627.9450","0.2673864191"," 11"," 99"," 320","7981"
"340 Jane Drive","Woodside"," 136778"," 5750000"," 8562.500","11554101","583.3944","0.2916981818"," 19","223","  54","3418"
"27447 Edgerton Road","Los Altos Hills","  63162"," 2488000"," 5696.800"," 6222466","579.0784","0.3788035500"," 88","151","  87","7981"
"2551 Greer Road","Palo Alto","   8400"," 2195000"," 2974.500"," 4177105","568.0644","0.2582660466"," 48","124"," 320","7981"
"668 Partridge Avenue","Menlo Park","   8460"," 2498000"," 3668.000"," 4919403","566.2609","0.2714108594"," 22","249"," 252","3418"
"1350 Elder Avenue","Menlo Park","  10500"," 2995000"," 4723.789"," 6085273","564.0183","0.2826672704"," 38","249"," 252","3418"
"1 Holbrook Lane","Atherton","  13020"," 1999000"," 4644.264"," 4944367","559.6712","0.3555078248"," 14"," 61","  58","3418"
"91 Belleau Avenue","Atherton","  14896"," 2298000"," 5313.437"," 5656781","557.6063","0.3516865064"," 14"," 61","  58","3418"
"19765 Skyline Boulevard","Portola Valley","1193544"," 3198000"," 5700.000"," 6840000","554.9474","0.2960880196"," 17"," 50","  50","3418"
"1319 Westridge Drive","Portola Valley","  49223"," 3350000"," 5700.000"," 6840000","528.2807","0.2571541502"," 17"," 50","  50","3418"
