"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"789 Northampton Drive","Palo Alto"," 11658","8295000","3008.500","4724794","-415.3500","1"
"2577 Ramona Street","Palo Alto","  8070","4980000","2979.700","4172690","-409.5248","4"
"3120 Alexis Drive","Palo Alto"," 27873","9988000","5732.000","7800000","-394.8268","0"
"1023 Forest Avenue","Palo Alto","  9984","4995000","3847.712","6220287","-367.8700","0"
"810 Miranda Green Street","Palo Alto","  8343","2988000","2732.876","3678872","-361.9641","0"
"2073 Edgewood Drive","Palo Alto","  7560","3750000","3008.500","4724794","-350.5727","1"
"931 Laurel Glen Drive","Palo Alto","190793","8500000","5732.000","7800000","-323.5529","0"
"1127 High Street","Palo Alto","  8000","4000000","4317.400","7216226","-287.3455","0"
"1092 Metro Circle","Palo Alto"," 11552","2990000","2514.800","3431588","-277.2844","5"
"3239 Maddux Drive","Palo Alto","  7200","3198000","2514.800","3431588","-265.2103","5"
"2226 Louis Road","Palo Alto"," 13400","5450000","3008.500","4724794","-216.7807","1"
