"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"4214 Juniper Lane","Palo Alto","  1436"," 1998000","  528.2675","  721727.2","-670.7751"," 0"
"65 Selby Lane","Atherton"," 40075","10800000","10653.7785","16224028.1","-629.6901"," 2"
"485 Summit Springs Road","Woodside"," 55757"," 2399000"," 6052.0311"," 8166514.5","-538.9111"," 0"
"15545 Swiss Creek Lane","Cupertino","435164"," 1649999"," 3076.0000"," 3008857.1","-478.1723"," 5"
"625 Easton Avenue","San Bruno","  6994","  898000"," 1484.0000"," 1023613.7","-462.1367"," 0"
"340 Jane Drive","Woodside","136778"," 5750000"," 8504.0000","11475162.4","-459.9796"," 0"
"6 TUSCALOOSA Avenue","Atherton"," 17000"," 4685000"," 4519.3820"," 6882307.6","-420.4897"," 0"
"789 Northampton Drive","Palo Alto"," 11658"," 8295000"," 2974.2000"," 4624764.9","-399.8294"," 1"
"3120 Alexis Drive","Palo Alto"," 27873"," 9988000"," 5732.0000"," 7800000.0","-394.1495"," 0"
"2577 Ramona Street","Palo Alto","  8070"," 4980000"," 2981.0000"," 4120186.9","-391.3017"," 5"
"1742 Eisenhower Drive","Santa Clara","  6000","  939000"," 2088.0000"," 1513373.0","-385.1933","24"
"121 Springdale Way","Redwood City"," 26700"," 2150000"," 3714.0000"," 2904312.8","-368.5290"," 0"
"503 Ivy Drive","Menlo Park","  5760","  795000"," 1790.0000"," 1376707.3","-365.5569"," 2"
"810 Miranda Green Street","Palo Alto","  8343"," 2988000"," 2732.8762"," 3681644.4","-362.9786"," 0"
"15040 Montebello Road","Cupertino"," 73468"," 1599000"," 3076.0000"," 3008857.1","-356.9599"," 5"
"444 Monterey Road","Pacifica","  6000","  799950"," 1869.0000"," 1485272.3","-355.1553"," 0"
"631 Manresa Lane","Los Altos","  4791"," 3195000"," 1487.4702"," 1922747.5","-355.1293"," 4"
"603 Bernal Avenue","Sunnyvale","  6032"," 1199999"," 2178.0583"," 1973408.5","-350.2279","36"
"25561 Big Basin","Saratoga","435600"," 1998000"," 4800.0000"," 4327573.3","-349.0335"," 2"
"1023 Forest Avenue","Palo Alto","  9984"," 4995000"," 3797.9136"," 6065298.8","-348.2581"," 0"
"709 Canyon Drive","Pacifica","  8570","  929000"," 2140.0000"," 1600000.0","-346.2363"," 0"
"3861 Corina Way","Palo Alto","  8700"," 2450000"," 2514.8000"," 3435758.5","-344.9565"," 5"
"431 Fernwood Drive","San Bruno","  5600","  849000"," 1784.0000"," 1290000.0","-339.2817"," 0"
"2073 Edgewood Drive","Palo Alto","  7560"," 3750000"," 2974.2000"," 4624764.9","-335.0521"," 1"
"84 Nora Way","Atherton"," 40260"," 7858620","10702.9600","16298923.8","-334.8426"," 2"
"931 Laurel Glen Drive","Palo Alto","190793"," 8500000"," 5732.0000"," 7800000.0","-322.8756"," 0"
"24645 Heather Heights","Saratoga","644253"," 2685000"," 4800.0000"," 4327573.3","-313.0201"," 2"
"586 S Almaden Avenue","San Jose","  5200","  625000"," 2232.0000"," 1254751.9","-312.2648","13"
