"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"1.0610901","ML81631441","0.2620423"," 4800.000"," 519000"," 904.4972"," 1959000"," 4341587","2078675.6","  88426"," 76","152","17320 Stevens Canyon Road","17","95014","Cupertino","Santa Clara"," 960"," 818","  818","29737","261","205"," 205","8078"," 2","ML81631190, ML81627495"
"0.5560988","ML81646095","0.2657690","11109.144","6988000","1554.4780","10320743","17268921","5739353.0","  41800"," 65","  2","147 Almendral Avenue","291","94027","Atherton","San Mateo"," 104"," 256","  252","12902"," 25"," 59","  56","3469"," 1","ML81615037"
"0.2980803","ML81645782","0.3610647"," 2175.200","1088000","1116.8849"," 1740560"," 2429448"," 518826.6","   6250"," 72","  6","515 Bay Road","309","94025","Menlo Park","San Mateo","  83"," 985","  990","12902"," 28","254"," 257","3469"," 0",""
"0.2949569","ML81645500","0.2620423"," 4800.000","1678000"," 904.4972"," 3118000"," 4341587"," 919675.6"," 290999"," 37","  7","17017 BOHLMAN Road","17","95070","Saratoga","Santa Clara"," 960"," 944","  944","29737","261","258"," 258","8078"," 2","ML81631190, ML81627495"
"0.2064672","ML81645942","0.4032548"," 2419.529"," 995000"," 922.6712"," 1720859"," 2232430"," 355300.9","   6000"," 70","  5","420 6th Avenue","311","94025","Menlo Park","San Mateo"," 113"," 985","  990","12902"," 28","254"," 257","3469"," 0",""
"0.2031465","ML81645540","0.1131401"," 4928.382","2750000","1109.9899"," 4228515"," 5470454"," 859007.8","  43560"," 41","  7","10321 Magdalena Road","221","94024","Los Altos Hills","Santa Clara"," 297"," 669","  291","29737"," 85","189","  84","8078"," 5","ML81630444, ML81589560, ML81582697, ML81562567, ML81459009"
"0.1908233","ML81645431","0.3787977"," 2676.964","1250000"," 982.0412"," 2053089"," 2628889"," 391777.3","   7067"," 58","  7","5103 Englewood Drive","18","95129","San Jose","Santa Clara","1367"," 545","16404","29737","340","135","4441","8078"," 0",""
"0.1780572","ML81645501","0.4357333"," 3627.480","2199000","1147.9167"," 3287244"," 4164045"," 585317.6","   8325"," 77","  7","207 Felton Drive","306","94025","Menlo Park","San Mateo","   9"," 985","  990","12902","  1","254"," 257","3469"," 0",""
"0.1765736","ML81645736","0.3783977"," 4803.700","2750000","1103.7973"," 4191110"," 5302311"," 740039.3","  15000"," 58","  6","2315 Loma Prieta Lane","301","94025","Menlo Park","San Mateo","  62"," 985","  990","12902"," 14","254"," 257","3469"," 2","ML81588773, ML81589307"
"0.1744257","ML81646257","0.2620423"," 4800.000","1998000"," 904.4972"," 3438000"," 4341587"," 599675.6"," 178417"," 79","  1","19471 Mountain Way","17","95030","Los Gatos","Santa Clara"," 960"," 493"," 1125","29737","261","128"," 285","8078"," 2","ML81631190, ML81627495"
"0.1742639","ML81646081","0.3734691"," 4404.000","1688000"," 862.7530"," 3009200"," 3799564"," 524394.9","  25650"," 51","  2","2750 El Prado Road","471","94010","Burlingame","San Mateo","  82","1008","  619","12902"," 21","269"," 162","3469"," 1","ML81598060"
"0.1740842","ML81646004","0.2620423"," 4800.000","1999000"," 904.4972"," 3439000"," 4341587"," 598675.6","1575042"," 21","  4","14910 Pierce Road","17","95070","Saratoga","Santa Clara"," 960"," 944","  944","29737","261","258"," 258","8078"," 2","ML81631190, ML81627495"
"0.1523860","ML81612044","0.1548974"," 5687.000","3828000","1205.8098"," 5534100"," 6857440"," 843319.6","  58806"," 58","226","20 Cordova Court","263","94028","Portola Valley","San Mateo","  72"," 182","  181","12902"," 17"," 49","  49","3469"," 0",""
"0.1304329","ML81646093","0.3595003"," 2964.000","1288000"," 892.8571"," 2177200"," 2646429"," 283978.6","   8800"," 63","  2","8 Gaylord Court","350","94070","San Carlos","San Mateo"," 100"," 845","  845","12902"," 21","252"," 252","3469"," 2","ML81628471, ML81580767"
"0.1282492","ML81644980","0.3610647"," 2175.200","1350000","1116.8849"," 2002560"," 2429448"," 256826.6","   6100"," 78","  3","1023 Menlo Oaks Drive","309","94025","Menlo Park","San Mateo","  83"," 985","  990","12902"," 28","254"," 257","3469"," 0",""
"0.1251853","ML81646102","0.3415162"," 2841.415","1195000"," 871.7949"," 2047425"," 2477131"," 256307.4","   8320"," 59","  2","108 Las Astas Drive","16","95032","Los Gatos","Santa Clara","1082"," 619"," 1125","29737","267","145"," 285","8078","19","ML81639538, ML81636822, ML81638872, ML81631922, ML81629254, ML81626132, ML81614557, ML81613668, ML81595828, ML81593491, ML81594098, ML81592699, ML81589137, ML81580922, ML81577972, ML81580309, ML81578586, ML81566334, ML81578555"
"0.1244872","ML81645537","0.4723775"," 2439.600"," 759900"," 805.7559"," 1491780"," 1803750"," 185707.5","   5500","112","  7","140 N Railroad Avenue","417","94401","San Mateo","San Mateo","  70"," 402"," 1764","12902"," 18","113"," 486","3469"," 1","ML81636386"
"0.1146221","ML81645814","0.4295877"," 3196.600","1388000"," 879.9658"," 2346980"," 2812899"," 269015.8","   8400"," 59","  6","1084 Hewitt Drive","351","94070","San Carlos","San Mateo"," 235"," 845","  845","12902"," 75","252"," 252","3469"," 1","ML81632371"
