"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","compPropCount"
"40 Selby Lane","Atherton","  44030"," 5880000","11701.809","18190205.3","943.1782","0.801481702"," 3"
"375 Walsh Road","Atherton","  45150"," 4488000","10549.955","15203038.0","914.7740","0.847491194"," 0"
"134 Stockbridge Avenue","Atherton","  43584"," 6250000","11583.276","18005948.4","906.0936","0.721908641"," 1"
"395 Atherton Avenue","Atherton","  56823"," 4988000","10808.800","15576046.7","878.7029","0.759975345"," 0"
"147 Almendral Avenue","Atherton","  41800"," 6988000","11109.144","17268920.8","816.6332","0.556098808"," 1"
"399 Atherton Avenue","Atherton","  53893"," 5845000","10808.800","15576046.7","799.4156","0.594002786"," 0"
"349 Fletcher Drive","Atherton","  42253"," 5950000"," 9873.029","14227551.8","737.5268","0.484712604"," 0"
"17320 Stevens Canyon Road","Cupertino","  88426","  519000"," 4800.000"," 4320000.0","728.8750","1.050842266"," 2"
"84 Nora Way","Atherton","  40260"," 7858620","10699.860","16632697.4","711.2045","0.397506396"," 2"
"1127 High Street","Palo Alto","   8000"," 4000000"," 4317.400"," 7216225.7","627.9450","0.267386419"," 0"
"84 Edge Road","Atherton","  45770"," 4985000"," 6656.000"," 9591644.5","591.2304","0.277640350"," 0"
"668 Partridge Avenue","Menlo Park","   8460"," 2498000"," 3324.000"," 4772923.1","583.8804","0.269975527"," 1"
"41 Stonegate Road","Portola Valley","  43560"," 3150000"," 5851.000"," 7060206.7","583.8305","0.338550588"," 0"
"340 Jane Drive","Woodside"," 136778"," 5750000"," 8504.000","11475162.4","578.7748","0.285585338"," 0"
"19765 Skyline Boulevard","Portola Valley","1193544"," 3198000"," 5851.000"," 7060206.7","575.6268","0.325579351"," 0"
"1319 Westridge Drive","Portola Valley","  49223"," 3350000"," 5851.000"," 7060206.7","549.6483","0.286112902"," 0"
"250 Catalpa Drive","Atherton","  40915"," 5295000"," 6656.000"," 9591644.5","544.6559","0.223323376"," 0"
"515 Bay Road","Menlo Park","   6250"," 1088000"," 2170.800"," 2424533.7","537.5052","0.296437729"," 0"
"2066 Louise Lane","Los Altos","  13692"," 1995000"," 3536.200"," 4079513.3","508.7233","0.241531797"," 4"
"207 Felton Drive","Menlo Park","   8325"," 2199000"," 3822.818"," 4376053.0","489.3588","0.216353102"," 0"
"17017 BOHLMAN Road","Saratoga"," 290999"," 1678000"," 4800.000"," 4320000.0","487.4167","0.288518281"," 2"
"10321 Magdalena Road","Los Altos Hills","  43560"," 2750000"," 4970.955"," 5529054.0","481.1994","0.212372782"," 6"
"731 El Cerrito Avenue","Hillsborough","  42400"," 3025000"," 6487.000"," 6552262.2","473.0390","0.225805925"," 0"
"20 Cordova Court","Portola Valley","  58806"," 3828000"," 5851.000"," 7060206.7","467.9529","0.176005624"," 0"
"83 Tuscaloosa Avenue","Atherton","  42000","10998000","11162.298","17351547.2","460.3836","0.124784848"," 1"
"5103 Englewood Drive","San Jose","   7067"," 1250000"," 2753.246"," 2693147.8","455.6903","0.206483243"," 3"
"175 Greenoaks Drive","Atherton","  41125"," 5895000"," 6656.000"," 9591644.5","454.5116","0.130316201"," 0"
"222 Camino Al Lago","Atherton","  49658","11900000","11900.000","18498288.6","445.6646","0.112049673"," 2"
"2315 Loma Prieta Lane","Menlo Park","  15000"," 2750000"," 4712.200"," 5201313.7","442.9400","0.161771542"," 2"
"420 6th Avenue","Menlo Park","   6000","  995000"," 2490.216"," 2252532.3","441.6705","0.202512671"," 0"
"2750 El Prado Road","Burlingame","  25650"," 1688000"," 4642.000"," 4011541.1","440.0546","0.211041116"," 0"
"108 Las Astas Drive","Los Gatos","   8320"," 1195000"," 3310.525"," 2836016.4","435.7301","0.205349834","13"
"100 Phillip Road","Woodside"," 136778"," 6995000"," 8504.000","11475162.4","432.3731","0.117921373"," 0"
"65 Selby Lane","Atherton","  40075","10800000","10650.693","16556267.9","431.6460","0.100185819"," 3"
"25561 Big Basin","Saratoga"," 435600"," 1998000"," 4800.000"," 4320000.0","420.7500","0.168586387"," 2"
"19471 Mountain Way","Los Gatos"," 178417"," 1998000"," 4800.000"," 4320000.0","420.7500","0.168586387"," 2"
"14910 Pierce Road","Saratoga","1575042"," 1999000"," 4800.000"," 4320000.0","420.5417","0.168246583"," 2"
"1023 Menlo Oaks Drive","Menlo Park","   6100"," 1350000"," 2170.800"," 2424533.7","416.8124","0.126709618"," 0"
"735 Saratoga Avenue","San Jose","   7000"," 1350000"," 2727.143"," 2667615.0","414.6764","0.144242796"," 2"
"22541 Mount Eden Road","Saratoga","  15638"," 1798000"," 4212.530"," 3791277.3","410.1781","0.151588931","11"
"6 TUSCALOOSA Avenue","Atherton","  17000"," 4685000"," 4518.073"," 7023245.3","408.7181","0.081318195"," 0"
"755 Partridge Avenue","Menlo Park","   4450"," 2188000"," 2353.041"," 3378724.8","405.5239","0.085801477"," 0"
"3436 Greer Road","Palo Alto","   6757"," 2150000"," 2485.727"," 3391916.2","404.1000","0.089360926"," 5"
"170 Josselyn Lane","Woodside"," 147233"," 7250000"," 8504.000","11475162.4","402.3872","0.088836164"," 0"
"1084 Hewitt Drive","San Carlos","   8400"," 1388000"," 3268.000"," 2889387.0","397.5306","0.134576048"," 2"
"1040 Continental Drive","Menlo Park","  16764"," 2998000"," 4712.200"," 5201313.7","390.3106","0.096462941"," 2"
"15040 Montebello Road","Cupertino","  73468"," 1599000"," 3076.000"," 3008857.1","389.8690","0.109618948"," 5"
"582 Madrone Avenue","Sunnyvale","   5460","  899000"," 1971.518"," 1790497.1","388.6153","0.117217040","48"
"355 Lloyden Park Lane","Atherton","  11718"," 2468000"," 4110.424"," 4351180.0","384.0473","0.093341890"," 2"
"12121 Page Mill Road","Los Altos Hills","  45738"," 3398000"," 5219.502"," 5805506.7","383.3931","0.087688069"," 5"
"140 N Railroad Avenue","San Mateo","   5500","  759900"," 2413.000"," 1803750.0","380.2683","0.130534776"," 1"
"8 Gaylord Court","San Carlos","   8800"," 1288000"," 2945.000"," 2575517.9","375.9700","0.103030904"," 2"
"321 Schroeder Street","Sunnyvale","   6254"," 1050000"," 2233.800"," 2028696.5","374.5581","0.096822228","30"
"15545 Swiss Creek Lane","Cupertino"," 435164"," 1649999"," 3076.000"," 3008857.1","373.2894","0.087623659"," 5"
"808 Sunset Drive","San Carlos","   7900"," 1479000"," 3268.000"," 2889387.0","369.6848","0.092595720"," 2"
"1861 Bahia Street","San Mateo","   6000"," 1008000"," 2582.000"," 2100000.0","365.9954","0.095590710"," 0"
"9951 Saint Elmo Drive","Oakland","   4212","  290000"," 2240.952"," 1184503.2","362.1621","0.144761980","28"
"21290 Blue Hills Drive","Saratoga","  61288"," 2288000"," 4800.000"," 4320000.0","360.3333","0.077682403"," 2"
"1 Fremont Way","Woodside","  12500","  529000"," 1720.023"," 1226991.2","355.8684","0.091956294"," 2"
"599 Cypress Avenue","Sunnyvale","   5050","  899000"," 1823.474"," 1656045.8","351.5941","0.065060653","68"
"2150 Dartmouth Street","Palo Alto","   4375"," 2495000"," 2185.187"," 3500722.0","348.1035","0.033364006"," 0"
"855 Acacia Avenue","Sunnyvale","   5000","  899000"," 1805.420"," 1639649.3","346.6639","0.058480115","70"
"5766 W Walbrook Drive","San Jose","   7700"," 1698000"," 2999.857"," 2934376.5","343.6730","0.050429197"," 4"
"74 Barry Lane","Atherton","  44132","12945000","11728.918","18232344.8","341.9822","0.029908593"," 2"
"18632 Woodbank Way","Saratoga","  59634"," 2400000"," 4800.000"," 4320000.0","337.0000","0.046250000"," 2"
"35 Sugar Hill Drive","Hillsborough","  30750"," 3890000"," 6408.874"," 6473349.8","332.3853","0.035707086"," 0"
"3581 San Felipe Road","San Jose","   8800","  499000"," 3688.000"," 1853844.8","332.1789","0.073922774","25"
"2908 E 16th Street","Oakland","   5616","  449000"," 2812.600"," 1486660.0","331.9327","0.069473383","18"
"1175 Palomar Dr.","Redwood City","  25155"," 1850000"," 3949.000"," 3393850.4","330.7878","0.040063570"," 0"
"15921 Rochin Terrace","Los Gatos","   8560"," 1590000"," 3406.021"," 2917824.6","329.8796","0.038965601","12"
"24 Edge Road","Atherton","  46043"," 6725000"," 6656.000"," 9591644.5","329.8121","0.022750968"," 0"
"1058 Montgomery Street","San Carlos","   5000","  849000"," 1644.999"," 1494184.1","328.6271","0.035077489"," 4"
"2355 Dumbarton Avenue","East Palo Alto","   5500","  549000"," 2034.000"," 1309009.9","328.6033","0.050189103"," 1"
"10271 Colby Avenue","Cupertino","   9300"," 1788000"," 3076.000"," 3008857.1","328.4256","0.032255077"," 5"
