"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","discountNewHousePerSquareFoot","compPropCount"
"308 Donohoe Street","East Palo Alto","   4965"," 988000","1321.000","1491787.9","-580.3979"," 0"
"297 Alta Vista Drive","South San Francisco","  39200"," 882000","1750.000","1256000.0","-457.9890"," 0"
"1425 San Raymundo Road","Hillsborough","  24960","3790000","5436.713","5686028.0","-442.3544"," 2"
"15150 Montebello Road","Cupertino"," 187308","2600000","3090.800","3035293.0","-407.8363"," 4"
"145 Hudson Street","Redwood City","   6500","1249000","2304.615","2089457.9","-398.9170"," 1"
"1200 Arguello Street","Redwood City","   5000"," 849000","1395.091","1272840.7","-397.8257"," 2"
"1061 Huckleberry Court","Sunnyvale","   8470","1799000","2233.500","2030454.5","-347.9555","28"
"15258 BLACKBERRY HILL Road","Los Gatos"," 240058","2995000","4232.500","3689871.8","-345.0625"," 6"
"20 Cordova Court","Portola Valley","  58806","3828000","5687.000","6857440.4","-318.2605"," 0"
"3348 Meridian Avenue","San Jose","   6300","1075000","2061.786","1372137.7","-284.8435","36"
"3712 Branson Drive","San Mateo","   5000","1498000","1690.857","1498666.9","-284.7292"," 3"
"17017 BOHLMAN Road","Saratoga"," 290999","1678000","4800.000","4341586.7","-282.3244"," 2"
"14910 Pierce Road","Saratoga","1575042","1999000","4800.000","4341586.7","-259.8665"," 2"
"2410 Marmon Court","Santa Clara","  10000","1699950","1976.600","1476876.9","-250.6997","24"
"17320 Stevens Canyon Road","Cupertino","  88426"," 519000","4800.000","4341586.7","-244.1919"," 2"
"886 Savory Drive","Sunnyvale","   6000","1588000","2059.679","1872435.1","-244.0993","47"
"1043 Eden Avenue","San Jose","   7920","1097744","2513.000","1782269.5","-240.0985","16"
"146 W Bellevue Avenue","San Mateo","  26520","5250000","3956.400","3914459.4","-233.4598"," 1"
"1236 Laurel Hill Drive","San Mateo","  13000","1598000","2734.200","2490617.7","-231.7798"," 0"
"428 Cypress Avenue","San Jose","   3768","1390000","1262.063"," 895080.2","-228.0845","35"
"21710 Rainbow Drive","Cupertino","  24790","3500000","3090.800","3035293.0","-228.0559"," 4"
"1084 Hewitt Drive","San Carlos","   8400","1388000","3196.600","2812898.8","-219.0134"," 1"
"1407 Annapolis Way","San Jose","   5663"," 848000","1853.317","1233399.3","-210.0850","63"
"1587 Morgan Street","Mountain View","   6120","1479000","2018.800","2060000.0","-209.5529"," 2"
"12610 Paseo Flores","Saratoga","  11792","1850000","3090.003","2794899.0","-202.4099","23"
