"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County","areaRatioCount","zipRatioCount","cityRatioCount","countyRatioCount","areaPriceCount","zipPriceCount","cityPriceCount","countyPriceCount","compPropCount","compProps"
"1.0595749","ML81631441"," 0.26225706"," 4800.000","  519000"," 903.8322"," 1959000"," 4338395","2075707.2","  88426","76","128","17320 Stevens Canyon Road","17","95014","Cupertino","Santa Clara"," 957","816","  816","29572","259","204"," 204","7942"," 2","ML81631190, ML81627495"
"0.8361937","ML81640235"," 0.23366457","10549.955"," 4488000","1432.2402"," 7652987","15110070","6399378.8","  45150","44","37","375 Walsh Road","290","94027","Atherton","San Mateo","  35","255","  251","12830","  6"," 59","  56","3413"," 0",""
"0.8336418","ML81642591"," 0.11101597"," 6189.917"," 2399000","1355.6444"," 4255975"," 8391327","3547959.0","  55757","56","6","485 Summit Springs Road","274","94062","Woodside","San Mateo","  76","869","  247","12830"," 18","219","  51","3413"," 0",""
"0.7834741","ML81644918"," 0.26584600","11705.199"," 5880000","1538.6603"," 9391560","18010326","7358043.4","  44030","78","4","40 Selby Lane","291","94027","Atherton","San Mateo"," 103","255","  251","12830"," 24"," 59","  56","3413"," 3","ML81611989, ML81578292, ML81549406"
"0.7492130","ML81645075"," 0.23366457","10808.800"," 4988000","1432.2402"," 8230640","15480798","6166502.2","  56823","56","2","395 Atherton Avenue","290","94027","Atherton","San Mateo","  35","255","  251","12830","  6"," 59","  56","3413"," 0",""
"0.7047046","ML81643527"," 0.26584600","11586.632"," 6250000","1538.6603"," 9725990","17827891","6853949.3","  43584","52","7","134 Stockbridge Avenue","291","94027","Atherton","San Mateo"," 103","255","  251","12830"," 24"," 59","  56","3413"," 1","ML81615037"
"0.5842553","ML81644781"," 0.23366457","10808.800"," 5845000","1432.2402"," 9087640","15480798","5309502.2","  53893","117","5","399 Atherton Avenue","290","94027","Atherton","San Mateo","  35","255","  251","12830","  6"," 59","  56","3413"," 0",""
"0.4756335","ML81633229"," 0.23366457"," 9873.029"," 5950000","1432.2402"," 8911909","14140549","4238802.2","  42253","66","98","349 Fletcher Drive","290","94027","Atherton","San Mateo","  35","255","  251","12830","  6"," 59","  56","3413"," 0",""
"0.4395875","ML81643702"," 0.38335675"," 3893.371"," 1598000","1099.7229"," 2766011"," 4281629","1215903.9","  10156","54","2","2323 Blueridge Avenue","301","94025","Menlo Park","San Mateo","  61","979","  984","12830"," 13","249"," 252","3413"," 1","ML81590261"
"0.3872105","ML81643416"," 0.11362875"," 5696.400"," 2488000","1098.9796"," 4196920"," 6260227","1625091.4","  63162","63","7","27447 Edgerton Road","221","94022","Los Altos Hills","Santa Clara"," 294","555","  288","29572"," 83","148","  82","7942"," 0",""
"0.3835705","ML81643031"," 0.26584600","10702.960"," 7858620","1538.6603","11069508","16468220","4245936.6","  40260","8","2","84 Nora Way","291","94027","Atherton","San Mateo"," 103","255","  251","12830"," 24"," 59","  56","3413"," 2","ML81615037, ML81472163"
"0.3467191","ML81636375"," 0.47830849"," 3612.000"," 2498000","1435.8974"," 3581600"," 5186462","1241809.2","   8460","11","49","668 Partridge Avenue","304","94025","Menlo Park","San Mateo","  82","979","  984","12830"," 23","249"," 252","3413"," 0",""
"0.3132801","ML81645073"," 0.15489738"," 5687.000"," 3150000","1205.8098"," 4856100"," 6857440","1521319.6","  43560","53","2","41 Stonegate Road","263","94028","Portola Valley","San Mateo","  72","182","  181","12830"," 17"," 49","  49","3413"," 0",""
"0.3004261","ML81643023"," 0.15489738"," 5687.000"," 3198000","1205.8098"," 4904100"," 6857440","1473319.6","1193544","37","2","19765 Skyline Boulevard","263","94028","Portola Valley","San Mateo","  72","182","  181","12830"," 17"," 49","  49","3413"," 0",""
"0.2976909","ML81642496"," 0.11101597"," 8562.500"," 5750000","1355.6444"," 8318750","11607705","2476416.1"," 136778","30","7","340 Jane Drive","274","94062","Woodside","San Mateo","  76","869","  247","12830"," 18","219","  51","3413"," 0",""
"0.2956444","ML81633249","10.18500000"," 1952.500","  549000"," 809.6774"," 1134750"," 1580895"," 335482.5"," 260140","46","98","150 Back Road","556","94020","La Honda","San Mateo","  10"," 24","   25","12830","  1","  4","   4","3413"," 0",""
"0.2940049","ML81645500"," 0.26225706"," 4800.000"," 1678000"," 903.8322"," 3118000"," 4338395"," 916707.2"," 290999","37","0","17017 BOHLMAN Road","17","95070","Saratoga","Santa Clara"," 957","941","  941","29572","259","256"," 256","7942"," 2","ML81631190, ML81627495"
"0.2698275","ML81637875"," 0.16340458"," 6656.000"," 4985000","1432.2402"," 6981800"," 9532991","1883881.5","  45770","57","35","84 Edge Road","293","94027","Atherton","San Mateo","  46","255","  251","12830","  9"," 59","  56","3413"," 0",""
"0.2673864","ML81642676"," 0.55190871"," 4317.400"," 4000000","1671.4286"," 5295220"," 7216226","1415869.9","   8000","93","6","1127 High Street","241","94301","Palo Alto","Santa Clara","  33","345"," 1115","29572"," 11"," 99"," 321","7942"," 0",""
"0.2613318","ML81640239"," 0.15489738"," 5687.000"," 3350000","1205.8098"," 5056100"," 6857440","1321319.6","  49223","58","14","1319 Westridge Drive","263","94028","Portola Valley","San Mateo","  72","182","  181","12830"," 17"," 49","  49","3413"," 0",""
"0.2595716","ML81644096"," 0.35422894"," 2758.500"," 1599000","1191.3961"," 2426550"," 3286466"," 629863.4","   7900","70","2","422 Concord Drive","308","94025","Menlo Park","San Mateo"," 120","979","  984","12830"," 24","249"," 252","3413"," 1","ML81636194"
"0.2590908","ML81643962"," 0.29074074"," 3471.444"," 2295000","1301.2068"," 3336433"," 4517067"," 864439.2","  11940","70","3","260 Santa Margarita Avenue","307","94025","Menlo Park","San Mateo","  61","979","  984","12830"," 18","249"," 252","3413"," 0",""
"0.2425767","ML81645087"," 0.28937589"," 3536.600"," 1995000","1154.5289"," 3055980"," 4083107"," 741309.5","  13692","57","2","2066 Louise Lane","214","94024","Los Altos","Santa Clara"," 408","666","  933","29572","116","187"," 253","7942"," 4","ML81636059, ML81634673, ML81614406, ML81578713"
"0.2388420","ML81644100"," 0.34193272"," 4229.000"," 1499000"," 871.7949"," 2767700"," 3686821"," 661043.1","  15000","92","2","122 Whitney Avenue","16","95030","Los Gatos","Santa Clara","1079","492"," 1122","29572","265","128"," 283","7942"," 6","ML81640017, ML81627972, ML81588245, ML81589213, ML81580944, ML81583395"
"0.2194280","ML81645059"," 0.26237618"," 6487.000"," 3025000","1004.8051"," 4971100"," 6518171","1090798.6","  42400","59","2","731 El Cerrito Avenue","441","94010","Hillsborough","San Mateo","  28","999","  383","12830","  7","260"," 102","3413"," 0",""
"0.2158427","ML81643932"," 0.16340458"," 6656.000"," 5295000","1432.2402"," 7291800"," 9532991","1573881.5","  40915","61","4","250 Catalpa Drive","293","94027","Atherton","San Mateo","  46","255","  251","12830","  9"," 59","  56","3413"," 0",""
"0.1955017","ML81644396"," 0.07509071"," 2880.000","  950000"," 809.6774"," 1814000"," 2331871"," 354640.0","1778990","104","7","7200 La Honda Road","250","94020","La Honda","San Mateo","  13"," 24","   25","12830","  2","  4","   4","3413"," 0",""
