"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","predictedSalePrice","breakEvenBuildCost","profitPercentOfInvestment","compPropCount"
"147 Almendral Avenue","Atherton","  41800"," 6988000","11109.144","17268921","816.6332","0.556098808"," 1"
"17320 Stevens Canyon Road","Cupertino","  88426","  519000"," 4800.000"," 4341587","733.0574","1.061090145"," 2"
"515 Bay Road","Menlo Park","   6250"," 1088000"," 2175.200"," 2429448","538.5191","0.298080301"," 0"
"17017 BOHLMAN Road","Saratoga"," 290999"," 1678000"," 4800.000"," 4341587","491.5991","0.294956893"," 2"
"10321 Magdalena Road","Los Altos Hills","  43560"," 2750000"," 4928.382"," 5470454","474.2981","0.203146472"," 5"
"207 Felton Drive","Menlo Park","   8325"," 2199000"," 3627.480"," 4164045","461.3565","0.178057247"," 0"
"2315 Loma Prieta Lane","Menlo Park","  15000"," 2750000"," 4803.700"," 5302311","454.0561","0.176573588"," 2"
"20 Cordova Court","Portola Valley","  58806"," 3828000"," 5687.000"," 6857440","448.2890","0.152386037"," 0"
"420 6th Avenue","Menlo Park","   6000","  995000"," 2419.529"," 2232430","446.8471","0.206467231"," 0"
"5103 Englewood Drive","San Jose","   7067"," 1250000"," 2676.964"," 2628889","446.3514","0.190823335"," 0"
"19471 Mountain Way","Los Gatos"," 178417"," 1998000"," 4800.000"," 4341587","424.9324","0.174425711"," 2"
"14910 Pierce Road","Saratoga","1575042"," 1999000"," 4800.000"," 4341587","424.7241","0.174084209"," 2"
"2750 El Prado Road","Burlingame","  25650"," 1688000"," 4404.000"," 3799564","419.0724","0.174263880"," 1"
"1023 Menlo Oaks Drive","Menlo Park","   6100"," 1350000"," 2175.200"," 2429448","418.0704","0.128249165"," 0"
"170 Josselyn Lane","Woodside"," 147233"," 7250000"," 8562.500","11607705","414.0340","0.099444028"," 0"
"8 Gaylord Court","San Carlos","   8800"," 1288000"," 2964.000"," 2646429","395.8092","0.130432928"," 2"
"108 Las Astas Drive","Los Gatos","   8320"," 1195000"," 2841.415"," 2477131","390.2041","0.125185291","19"
"1084 Hewitt Drive","San Carlos","   8400"," 1388000"," 3196.600"," 2812899","384.1569","0.114622131"," 1"
"140 N Railroad Avenue","San Mateo","   5500","  759900"," 2439.600"," 1803750","376.1221","0.124487190"," 1"
"582 Madrone Avenue","Sunnyvale","   5460","  899000"," 1874.308"," 1703916","365.8107","0.084411277","61"
"21290 Blue Hills Drive","Saratoga","  61288"," 2288000"," 4800.000"," 4341587","364.5157","0.083067488"," 2"
"808 Sunset Drive","San Carlos","   7900"," 1479000"," 3196.600"," 2812899","355.6891","0.073017764"," 1"
"74 Barry Lane","Atherton","  44132","12945000","11728.918","18232345","341.9822","0.029908593"," 2"
"10271 Colby Avenue","Cupertino","   9300"," 1788000"," 3090.800"," 3035293","334.8073","0.039621720"," 4"
"599 Cypress Avenue","Sunnyvale","   5050","  899000"," 1733.563"," 1575966","326.8694","0.032824135","65"
"1303 Milton Way","San Jose","   7656","  895000"," 2994.000"," 1990908","319.4872","0.032536578","16"
"534 Hemlock Avenue","Millbrae","   5400","  939999"," 1968.000"," 1686206","319.1935","0.024681736"," 0"
"735 Locust Street","San Jose","   6075","  475000"," 2237.600"," 1269266","315.2561","0.029780751","11"
"7551 Squirewood Way","Cupertino","   7000"," 1599000"," 2651.584"," 2603965","310.2626","0.011364550"," 0"
"2355 Dumbarton Avenue","East Palo Alto","   5500","  549000"," 1805.363"," 1177410","302.4277","0.004018758"," 0"
"308 Donohoe Street","East Palo Alto","   4965","  988000"," 1321.000"," 1491788","302.3185","0.002212461"," 0"
"145 Hudson Street","Redwood City","   6500"," 1249000"," 2304.615"," 2089458","301.2198","0.001448817"," 1"
