"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County"
"1.3441973","ML81631441"," 0.2633085"," 4800.000","  519000"," 902.7050"," 1719000.0"," 4029675.1","2310675.1"," 88426","76","123","17320 Stevens Canyon Road","17","95014","Cupertino","Santa Clara"
"1.0351072","ML81636374"," 0.4845734"," 3676.000"," 1298000","1319.7587"," 2217000.0"," 4511832.6","2294832.6","  8460","85","49","672 Partridge Avenue","304","94025","Menlo Park","San Mateo"
"0.9328582","ML81641146"," 0.2659230","12024.000"," 5895000","1538.5332"," 8901000.0","17204370.8","8303370.8"," 50160","41","7","6 Bergesen Court","291","94027","Atherton","San Mateo"
"0.8770761","ML81640235"," 0.2336646","10549.955"," 4988000","1458.8680"," 7625488.8","14313623.0","6688134.2"," 45150","44","14","375 Walsh Road","290","94027","Atherton","San Mateo"
"0.7464538","ML81641829"," 0.5545400"," 3964.961"," 2358000","1586.2862"," 3349240.2"," 5849293.5","2500053.2","  7150","71","10","425 Oregon Avenue","237","94301","Palo Alto","Santa Clara"
"0.6393230","ML81642060"," 0.4845734"," 3559.191"," 1775000","1319.7587"," 2664797.8"," 4368464.4","1703666.6","  7345","84","0","797 Live Oak Avenue","304","94025","Menlo Park","San Mateo"
"0.6083265","ML81634924"," 0.1141429"," 5518.922"," 2100000","1090.3919"," 3479730.5"," 5596542.9","2116812.4"," 48351","40","66","14486 Liddicoat Circle","221","94022","Los Altos Hills","Santa Clara"
"0.5912088","ML81633229"," 0.2336646"," 9873.029"," 5950000","1458.8680"," 8418257.3","13395205.2","4976947.9"," 42253","66","98","349 Fletcher Drive","290","94027","Atherton","San Mateo"
"0.5127645","ML81636361"," 0.3596641"," 5357.557"," 2298000","1104.3618"," 3637389.2"," 5502513.1","1865124.0"," 14896","62","50","91 Belleau Avenue","292","94027","Atherton","San Mateo"
"0.4330408","ML81638504"," 0.2659230","12024.000"," 8999500","1538.5332","12005500.0","17204370.8","5198870.8"," 87120","102","31","120 Selby Lane","291","94027","Atherton","San Mateo"
