"Street.Address","Postal.City","lotSqFt","list.Price.Num","projectedHouseSizeSqFt","breakEvenBuildCost","profitPercentOfInvestment"
"6 Bergesen Court","Atherton"," 50160"," 5895000","12024.000","940.5664","0.932858194"
"375 Walsh Road","Atherton"," 45150"," 4988000","10549.955","883.9491","0.877076124"
"425 Oregon Avenue","Palo Alto","  7150"," 2358000"," 3964.961","880.5367","0.746453839"
"672 Partridge Avenue","Menlo Park","  8460"," 1298000"," 3676.000","874.2744","1.035107162"
"349 Fletcher Drive","Atherton"," 42253"," 5950000"," 9873.029","754.0953","0.591208815"
"17320 Stevens Canyon Road","Cupertino"," 88426","  519000"," 4800.000","731.3907","1.344197290"
"797 Live Oak Avenue","Menlo Park","  7345"," 1775000"," 3559.191","728.6668","0.639323013"
"120 Selby Lane","Atherton"," 87120"," 8999500","12024.000","682.3745","0.433040755"
"921 Elsinore Drive","Palo Alto","  9462"," 2288000"," 2982.300","667.5176","0.410460546"
"84 Edge Road","Atherton"," 45770"," 4985000"," 6656.000","641.3626","0.391774660"
"14486 Liddicoat Circle","Los Altos Hills"," 48351"," 2100000"," 5518.922","633.5554","0.608326521"
"91 Belleau Avenue","Atherton"," 14896"," 2298000"," 5357.557","598.1296","0.512764473"
"1350 Elder Avenue","Menlo Park"," 10500"," 2995000"," 4723.789","567.3651","0.359000205"
"668 Partridge Avenue","Menlo Park","  8460"," 2498000"," 3676.000","547.8326","0.320407544"
"1833 Edgewood Drive","Palo Alto","  9030"," 2695000"," 2982.300","531.0458","0.243611272"
"1319 Westridge Drive","Portola Valley"," 49223"," 3350000"," 5700.000","522.0807","0.324787435"
"24130 Big Basin Way","Saratoga","487872"," 1698000"," 4800.000","485.7657","0.390502119"
"151 Almendral Avenue","Atherton"," 43320","10980000","11519.784","477.6931","0.189248563"
"150 Back Road","La Honda","260140","  549000"," 1952.500","466.4691","0.407526462"
"1017 Miller Avenue","San Jose","  6300"," 1100000"," 2391.931","453.2261","0.286282620"
"3783 Starr King Circle","Palo Alto","  8550"," 1998000"," 2391.500","441.7109","0.176617409"
"100 Phillip Road","Woodside","136778"," 6995000"," 8562.500","437.9929","0.176199138"
"1266 Altschul Avenue","Menlo Park","  8208"," 2195000"," 3334.000","434.9141","0.203567332"
"25561 Big Basin","Saratoga","435600"," 1998000"," 4800.000","423.2657","0.260061020"
"1360 Elder Avenue","Menlo Park","  9975"," 3495000"," 4487.600","422.5773","0.167744083"
"216 Victoria Road","Burlingame","  6250"," 1250000"," 2472.000","419.3450","0.224101034"
"27408 Deer Springs Way","Los Altos Hills"," 69721"," 3395000"," 5698.600","418.3041","0.198997400"
"65 Selby Lane","Atherton"," 40075","10800000","10656.864","417.4046","0.132499939"
"355 Lloyden Park Lane","Atherton"," 11718"," 2598000"," 4214.544","410.6197","0.185379557"
"155 Willowbrook Drive","Portola Valley"," 48643"," 3995000"," 5700.000","408.9228","0.167132841"
"225 Golden Oak Drive","Portola Valley"," 43560"," 3995000"," 5700.000","408.9228","0.167132841"
"20 Cordova Court","Portola Valley"," 58806"," 3998000"," 5700.000","408.3965","0.166487184"
"24925 Oneonta Drive","Los Altos Hills"," 43240"," 2998000"," 4935.538","406.6332","0.182677294"
"193 Westhill Drive","Los Gatos"," 15750"," 1695000"," 4270.000","406.0565","0.241216813"
"22541 Mount Eden Road","Saratoga"," 15638"," 1798000"," 4117.618","402.8554","0.222607020"
"267 Alba Court","Los Altos"," 10472"," 2598000"," 3233.693","395.8156","0.138421725"
"15040 Montebello Road","Cupertino"," 73468"," 1599000"," 3090.800","395.7637","0.189959351"
"2104 Coronet Boulevard","Belmont","  8236"," 1090000"," 2790.000","393.6187","0.224165706"
