"X..Lot.SqFt","Age","Area..","Area.Name","Baths.Full","Baths.Half","Beds.Total","County","DOM","HOA.Fee","List.Price","Listing.Date","Lot.Size","MLS.Number","Parcel.Number","Postal.City","Price.SqFt","Sale.Date","Sale.Price","Sq.Ft.Total","Status","Street.Address","Year.Built","Zip.Code","Zoning","Elementary.School","Elementary.School.District","Elementary.School.District.Code","Elementary.School.ID","Middle.School","Middle.School.ID","High.School","High.School.District","High.School.District.ID","High.School.ID","propertyAddresses","latitude","longitude","latLongConf"
"$ 133.48",28,"274","Central Woodside",5,1,4,"San Mateo",162,NA,"$17,850,000","10/25/2016","133,729","ML81629789","072-051-110","Woodside","1,487.50","","","12,000","Canceled","700 Kings Mountain Road",1988,94062,"R1003A","","Woodside Elementary","942","","","","","Sequoia Union High","940","","700 Kings Mountain Road, Woodside, CA, 94062",37.430089,-122.290372,0.878
"$ 133.48",29,"274","Central Woodside",5,1,4,"San Mateo",169,NA,"$17,850,000","04/05/2017","133,729","ML81645508","072-051-110","Woodside","1,487.50","","","12,000","Active","700 Kings Mountain Road",1988,94062,"R1003A","","Woodside Elementary","942","","","","","Sequoia Union High","940","","700 Kings Mountain Road, Woodside, CA, 94062",37.430089,-122.290372,0.878
"$ 293.32",60,"291","El Camino to Alameda",4,3,5,"San Mateo",77,NA,"$12,945,000","01/25/2017","44,132","ML81636668","070-201-090","Atherton","1,912.11","","","6,770","Active","74 Barry Lane",1957,94027,"R1001A","","Menlo Park City Elementary","931","","","","","Sequoia Union High","940","","74 Barry Lane, Atherton, CA, 94027",37.449771,-122.205577,1
"$ 270.31",18,"291","El Camino to Alameda",7,2,6,"San Mateo",8,NA,"$10,980,000","03/06/2017","43,320","ML81641163","070-050-090","Atherton","1,699.56","03/12/2017","$11,710,000","6,890","Sold","151 Almendral Avenue",1999,94027,"R1001A","","Redwood City Elementary","935","","","","","Sequoia Union High","940","","151 Almendral Avenue, Atherton, CA, 94027",37.455509,-122.211655,0.878
"$ 130.69",90,"211","North Los Altos",4,4,4,"Santa Clara",296,NA,"$11,500,000","05/02/2016","87,991","ML81583260","175-12-020","Los Altos","1,496.81","","","7,683","Active","220 University Avenue",1926,94022,"R1","Gardner Bullis Elementary","Los Altos Elementary","460","1,079","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","220 University Avenue, Los Altos, CA, 94022",37.378663,-122.120075,1
"$ 159.68",27,"450","Skyfarm",6,0,5,"San Mateo",4,NA,"$8,795,000","04/08/2017","55,080","ML81646022","028-510-040","Hillsborough","1,133.38","","","7,760","Active","26 Orange Court",1990,94010,"R10000","North Hillsborough","Hillsborough City Elementary","925","685","Crocker Middle","625","","San Mateo Union High","939","","26 Orange Court, Hillsborough, CA, 94010",37.563635,-122.368996,1
"$ 28.94",11,"16","Los Gatos/Monte Sereno",7,1,6,"Santa Clara",4,NA,"$7,880,000","04/08/2017","272,250","ML81646038","537-23-062","Los Gatos","955.27","","","8,249","Active","285 Wooded View Drive",2006,95032,"HR11","Blossom Hill Elementary","Los Gatos Union Elementary","461","139","Raymond J. Fisher Middle","141","Los Gatos High","Los Gatos-Saratoga Joint Union High","476","262","285 Wooded View Drive, Los Gatos, CA, 95032",37.222095,-121.944293,0.836
"$ 698.90",9,"303","Central Menlo",5,1,5,"San Mateo",10,NA,"$7,850,000","04/02/2017","11,232","ML81644991","071-180-340","Menlo Park","1,293.25","04/12/2017","","6,070","Pending","550 Grace Drive",2008,94025,"R10010","Oak Knoll Elementary","Menlo Park City Elementary","931","663","Hillview Middle","642","Menlo-Atherton High","Sequoia Union High","940","658","550 Grace Drive, Menlo Park, CA, 94025",37.434669,-122.190932,1
"$ 814.21",7,"239","Crescent Park",4,1,4,"Santa Clara",18,NA,"$7,995,000","03/08/2017","9,150","ML81641594","003-22-017","Palo Alto","2,038.30","03/23/2017","$7,450,000","3,655","Sold","1357 Pitman Avenue",2010,94301,"R1","Duveneck Elementary","Palo Alto Unified","481","311","David Starr Jordan Middle","329","Palo Alto High","Palo Alto Unified","481","327","1357 Pitman Avenue, Palo Alto, CA, 94301",37.452034,-122.144109,1
"$ 144.96",2,"221","Los Altos Hills",7,2,6,"Santa Clara",7,NA,"$7,388,000","03/29/2017","50,965","ML81644415","182-47-004","Los Altos Hills","980.10","04/05/2017","","7,538","Pending","26991 Taaffe Road",2015,94022,"RA","Gardner Bullis Elementary","Los Altos Elementary","460","1,079","Ardis G. Egan Intermediate","133","Los Altos High","Mountain View-Los Altos Union High","477","265","26991 Taaffe Road, Los Altos Hills, CA, 94022",37.362605,-122.149813,1
