"Age","Area #","Baths Full","Baths Half","Beds Total","Cooling","County","Current Price","DOM","Elementary School District","Elementary School District Code","Fireplace YN","Foundation","Garage Spaces","Heating","High School District","High School District ID","HOA Exist YN","Latitude","List Price","Listing Date","Longitude","Lot Size","Lot Size Area Min Units","MLS Number","New Construction YN","No Of Stories","Parcel Number","Parking Features","Pool YN","Postal City","Property Sub Type","Property Type","Public Remarks","Roof","Sale Date","Sale Price","Sewer Septic","Sq Ft Total","State","Status","Street Address (Full)","Table","Utilities","Walk Score","Water","Year Built","Zip Code","Zoning"
"80","291","7","2","6","Other","San Mateo","$39,750,000","5","Las Lomitas Elementary","930","Yes","Concrete Perimeter and Slab","3","Central Forced Air, Heating - 2+ Zones","Sequoia Union High","940","No","37.451367","$39,750,000","04/02/2017","-122.214281","113,400","Sqft","ML81644989","No","3","070-022-410","Detached, Electric Gate, Gate/Door Opener, Off-Street Parking","Yes","Atherton","Res. Single Family","Residential","Incomparable estate property built circa 1937 & extensively renovated with principles of Feng Shui -the entire property revolves around a line of energy that integrates water, wood & fire elements. Imported centuries-old artifacts, mantelpieces & antique wood & stone floors is hallmark of the design which has been meticulously crafted by interior designers from England. 3 level main residence plus 2 bd/1ba guest house & studio guest apt above garage. Library, office, billiards room with-built-in full bar & glass-enclosed wine storage, playroom, media room & fitness center. The grounds of~ 2.6 acres include pool, spa, tennis ct, batting cage, lighted 7-hole golf practice area, pool house with 2 baths, sauna, secret garden, extensive walking paths, koi pond & much more.  Backup generator, well for irrigation It is half-way between San Francisco & San Jose International airports /Near Stanford University, Sand Hill Road venture capital centers & many hi-tech companies. Las Lomitas Schools","Slate","","","Sewer - Public, Sewer Connected","13,500","California","Active","200 Polhemus AVE ","Residential","Generator, Public","6","Public, Well","1937","94027","R1001A"
"28","274","5","1","4","Central Forced Air","San Mateo","$17,850,000","162","Woodside Elementary","942","Yes","Foundation Moisture Barrier, Foundation Pillars, Sealed Crawlspace","4","Fireplace, Forced Air, Heat Pump, Heating - 2+ Zones","Sequoia Union High","940","No","37.433325","$17,850,000","10/25/2016","-122.284629","133,729","Sqft","ML81629789","No","2","072-051-110","Attached, Carport, Detached, Electric Gate, Gate/Door Opener, Guest / Visitor Parking, Parking Area, Room for Oversized Vehicle, Uncovered Parking","Yes","Woodside","Res. Single Family","Residential","This Estate boasts an award winning park like setting, an expansive motor court, awe inspiring arch of showy, mature flowering plum trees, including a 100ft lap pool, fountains and gazebo, w/majestic stately Oaks and Redwood trees, =/- 12,000 sf French Country style home along with a =/-1,200 sf carriage house and =/- 1,000 sf Single Level Guest House with too many features to list (please see aerial and home interior video)","Other","","","Septic Tank/Pump","12,000","California","Canceled","700 Kings Mountain RD ","Residential","Public","1","Public, Water Softener, Water Treatment System, Well","1988","94062","R1003A"
"29","274","5","1","4","Central Forced Air","San Mateo","$17,850,000","164","Woodside Elementary","942","Yes","Foundation Moisture Barrier, Pillars/Posts/Piers, Sealed Crawlspace","7","Fireplace, Forced Air, Heat Pump, Heating - 2+ Zones","Sequoia Union High","940","No","37.433879","$17,850,000","04/05/2017","-122.284414","133,729","Sqft","ML81645508","No","2","072-051-110","Attached, Carport, Covered Parking, Detached, Electric Gate, Gate/Door Opener, Golf Cart, Guest / Visitor Parking, Lighted Parking Area","Yes","Woodside","Res. Single Family","Residential","This Estate boasts an award winning park like setting adjacent to the 1,000 acre Huddart Park, an expansive motor court, awe inspiring arch of showy, mature flowering plum trees, including a 100 ft lap pool with fountains and gazebo, w/majestic stately Oaks and Redwood trees, +/- 1,200 sf carriage house and +/- 1,000 sf Single Level Guest House (please see aerial and home interior video).","Other","","","Septic Tank/Pump","12,000","California","Active","700 Kings Mountain RD ","Residential","Public","1","Irrigation Water Available, Public, Water Softener, Water Treatment System, Well","1988","94062","R1003A"
"43","263","7","1","5","Central Forced Air - Gas, Multi-Zone","San Mateo","$7,988,000","24","Portola Valley Elementary","933","Yes","Concrete Perimeter and Slab, Crawl Space, Post & Beam","6","Central Forced Air - Gas, Heating - 2+ Units, Heating - 2+ Zones","Sequoia Union High","940","Yes","37.391596","$7,988,000","02/27/2017","-122.231239","145,055","Sqft","ML81640229","No","1","077-042-020","Attached, Gate/Door Opener, Guest / Visitor Parking, Room for Oversized Vehicle","Yes","Portola Valley","Res. Single Family","Residential","Immersed in natural privacy, this gated, creek-side property of 3.33 acres (per county) forms one of the largest flat lots in Portola Valley. The luxuriously upgraded estate is every entertainers dream, and includes a guesthouse, a poolhouse, and a studio for a total of 5 bedrooms, 7.5 bathrooms, and a living area of approx. 8,100 sq. ft. (per drawings). French doors throughout the single-level main home open to the exciting grounds, allowing easy indoor-outdoor enjoyment. Excellent amenities include six-car garage parking, a sauna, and a heated pool and spa. Stroll to trails throughout the surrounding woodland paradise while easily accessing local shopping and scenic open spaces.","Clay","","","Septic Connected, Septic Tank/Pump","8,104","California","Active","237 Mapache DR ","Residential","Generator, Individual Electric Meters, Individual Gas Meters, Public","0","Irrigation Connected, Public","1974","94028","R1002A"
"9","303","5","1","5","Central Forced Air","San Mateo","$7,850,000","5","Menlo Park City Elementary","931","Yes","Concrete Perimeter and Slab","2","Central Forced Air, Heating - 2+ Zones","Sequoia Union High","940","No","37.435043","$7,850,000","04/02/2017","-122.191267","11,232","Sqft","ML81644991","No","3","071-180-340","Attached, Gate/Door Opener","No","Menlo Park","Res. Single Family","Residential","One of the most recognizable houses in central Menlo Park, located on a premier corner lot of over 1/4 acre (~11,232 sq.ft.). Built by David Crouch Custom Homes in 2008 & recently extensively updated , the Australian Federation style boasts a signature wraparound veranda and new designer paint colors against crisp white millwork, refinished white oak floors, contemporary hardware & new carpeting. The result is chic & sophisticated. 5 bedrooms (3 suites upstairs including the master, & a bedroom & bath on the main & lower level). Library, fitness center, recreation room, theatre, & room designed for a wine cellar.The private rear yard has a custom-built oversized spa, sport court, fireplace, built-in flat screen TV & premium built-in grill. Commercial quality security system, including night vision cameras with hard drive recording, scans the entire property 24/7. Attached 2-car garage. Just minutes to tech and venture capital centers. MP schools Adjacent property available for sale.","Wood Shakes/Shingles","","","Sewer Connected","6,070","California","Active","550 Grace DR ","Residential","Public","25","Public","2008","94025","R10010"
"7","239","4","1","4","None","Santa Clara","$7,450,000","18","Palo Alto Unified","481","No","Concrete Slab","1","Radiant Floors","Palo Alto Unified","481","No","37.452199","$7,995,000","03/08/2017","-122.144082","9,150","Sqft","ML81641594","No","2","003-22-017","Attached, Gate/Door Opener, Off-Street Parking","No","Palo Alto","Res. Single Family","Residential","Light-filled and decidedly modern, this Crescent Park home was built in 2009 as a contemporary showpiece. Beginning with minimalist gardens and a linear display of Equisetum plants, also known as horsetail, across the front of the home, the architecture and landscape design work in harmony with one another. A dramatic glass ceiling, three levels of contiguous windows at the front and rear, and a series of clerestory windows all provide amazing light. Limestone floor on the main level, light maple flooring spans the second floor and top-floor loft is a fabulous space, perfect for play, recreation, and media. The home's open concept floor plan is not only contemporary, but also perfectly suited for entertaining. Extending from the foyer to the rear of the home is white Caesarstone counter-topped cabinetry for bar and serving needs, all open to the living room and family room. Custom Scavolini cabinetry adds modern panache along with top-of-the-line stainless steel appliances.","Metal","03/23/2017","$7,450,000","Sewer - Public","3,655","California","Sold","1357 Pitman AVE ","Residential","Public","41","Public","2010","94301","R1"
"2","221","7","2","6","Central Forced Air","Santa Clara","$7,388,000","7","Los Altos Elementary","460","Yes","Concrete Perimeter, Concrete Slab","2","Central Forced Air - Gas","Mountain View-Los Altos Union High","477","No","37.362945","$7,388,000","03/29/2017","-122.150049","50,965","Sqft","ML81644415","No","2","182-47-004","Attached, Gate/Door Opener, Off-Street Parking","No","Los Altos Hills","Res. Single Family","Residential","New Masterpiece by award-winning local M Designs Architects with fabulous Bay views! Stunning gated entrance and vast motor court done entirely in grasscrete pavers. Foyer introduces the gorgeous hardwood floors that continue throughout the home. Library/office with entire wall of custom cabinetry. Formal living room with gas-log fireplace, retractable glass doors open to the Bay view deck, and unobstructed views. Formal dining room with picture windows and opposite wall of retractable glass doors. Fabulous chef’s kitchen with custom cabinetry and large center island with breakfast bar seating, all topped in granite. Family room fully open to the kitchen with floor-to-ceiling windows. Master bedroom suite with entire wall of Bay view windows. Lower level features a fitness center, recreation room, wine cellar and tasting room, home theatre and 2 bedroom suites. Beautifully landscaped and private grounds include lawn areas, terraces, and built-in bbq center. Excellent Los Altos schools!","Tile","04/05/2017","","Sewer - Public","7,538","California","Pending","26991 Taaffe RD ","Residential","Public","6","Public","2015","94022","RA"
"102","237","2","2","5","Central Forced Air","Santa Clara","$7,250,000","8","Palo Alto Unified","481","Yes","Concrete Perimeter","2","Central Forced Air","Palo Alto Unified","481","No","37.438599","$7,998,000","03/09/2017","-122.147563","13,125","Sqft","ML81641634","No","2","124-07-025","Detached","Yes","Palo Alto","Res. Single Family","Residential","Rare find in Palo Alto's most prestigious and sought-after community. Unique Craftsman Brown Shingle Style originally built in early 1900's yet remodeled and upgraded over time. Outstanding floor plan for today's lifestyle and a great home for entertaining. French doors frame beautiful patios and garden areas. Lovely pool and pool house. Owned by the same family for over fifty years. Lovely truss beam ceiling in Living Room. 5 bedrooms, 3,540 Sq Ft of living space on a spacious lot of 13,125 Sq Ft. Dining Room and Sunroom opens to the garden designed by the renowned Katsy Swan. Ideal location near Gamble Garden Center, convenient to Downtown and close to Walter Hays Elementary and Palo Alto High School.","Shingle","03/16/2017","$7,250,000","Sewer - Public, Sewer Connected","3,540","California","Sold","1550 Waverley ST ","Residential","Public","52","Public","1915","94301","R1B1"
"6","16","8","5","6","Central Forced Air, Multi-Zone","Santa Clara","$6,999,888","124","Saratoga Union Elementary","469","Yes","Combination, Crawl Space","3","Central Forced Air, Central Forced Air - Gas, Fireplace, Forced Air, Gas, Heating - 2+ Units, Heating - 2+ Zones","Los Gatos-Saratoga Joint Union High","476","No","37.232656","$6,999,888","11/28/2016","-122.002961","77,711","Sqft","ML81632761","No","2","510-22-001","Attached, Electric Gate, Gate/Door Opener, Room for Oversized Vehicle, Other","Yes","Monte Sereno","Res. Single Family","Residential","Private Double Gated Monte Sereno Custom Estate on 1.78 acre of land. A Unique estate consisting of a main residence, guest house & cabana. Woodland Serenity Resort Living minutes from Silicon Valley. Custom Built with Top quality craftsmanship. This Home features Four en-suite bedrooms, A huge Master Suite with views, Guest House, Cabana House, Five Kitchens, swimming pool, spa, sauna, gym, unique circular den and much more. Located in the Tony Enclave of Monte Sereno. This Craftsman-style estate embodies luxurious living as well as peaceful serenity. This is a rare chance to own an exclusively remarkable home.","Tile","","","Sewer - Public","7,953","California","Expired","16235 Greenwood LN ","Residential","Natural Gas, Public","1","Public","2010","95030","R44"
"80","239","3","1","5","Central Forced Air","Santa Clara","$6,963,000","10","Palo Alto Unified","481","Yes","Concrete Perimeter","0","Central Forced Air - Gas","Palo Alto Unified","481","No","37.451723","$6,988,000","02/06/2017","-122.144908","8,850","Sqft","ML81637959","No","2","003-22-034","Covered Parking","No","Palo Alto","Res. Single Family","Residential","","Wood Shakes/Shingles","02/15/2017","$6,963,000","Sewer Connected","3,466","California","Sold","1304 Pitman AVE ","Residential","Public","34","Public","1937","94301","R1"
