"$/Lot SqFt","Age","Area #","Area Name","Baths Full","Baths Half","Beds Total","DOM","HOA Fee","List Price","Listing Date","Lot Size","MLS Number","Postal City","Price/SqFt","Sale Date","Sale Price","Sq Ft Total","Status","Street Address","Year Built","Zip Code","Zoning"
"$ 305.31","","208","Grant","3","0","4","35","","$2,448,000","08/06/2013","8,018","ML81328713","Mountain View","945.17","","","2,590","Canceled","2738 Saint Giles Lane","","94040","R1"
"$ 183.47","","208","Grant","3","1","5","5","","$1,998,000","03/31/2011","10,890","ML81113855","Mountain View","508.40","","","3,930","Canceled","135 CARMELITA Drive","","94040","R1"
"$ 174.29","","209","Miramonte","3","1","5","43","","$2,058,330","05/02/2010","11,189","ML81021638","Mountain View","580.73","06/14/2010","$1,950,089","3,358","Sold","1098 MARILYN Drive","","94040","02"
"$ 294.95","","209","Miramonte","3","1","4","45","","$1,754,000","05/19/2010","6,181","ML81024800","Mountain View","799.25","07/03/2010","$1,823,086","2,281","Sold","1416 MARIGOLD Court","","94040","02"
"$ 275.28","","209","Miramonte","2","1","3","96","","$1,861,575","08/01/2010","6,253","ML81038049","Mountain View","749.05","11/05/2010","$1,721,317","2,298","Sold","1421 MARIGOLD Court","","94040","02"
"$ 186.88","","208","Grant","4","0","5","76","","$1,780,000","04/28/2011","9,204","ML81118881","Mountain View","521.21","07/13/2011","$1,720,000","3,300","Sold","102 GIBBS Court","","94040","R-1"
"$ 1,161.46","","200","Whisman","3","1","4","0","176","$1,608,000","09/19/2014","1,457","ML81434217","Mountain View","743.85","09/19/2014","$1,692,251","2,275","Sold","107 Savannah Loop","","94040","R3"
"$ 222.85","","209","Miramonte","3","1","4","32","","$1,772,000","05/11/2010","7,564","ML81023273","Mountain View","753.20","06/12/2010","$1,685,661","2,238","Sold","1446 MARIGOLD Court","","94040","02"
"$ 271.33","","209","Miramonte","3","0","4","6","","$1,768,745","01/16/2011","6,049","ML81102103","Mountain View","730.74","01/22/2011","$1,641,250","2,246","Sold","1422 MARIGOLD Court","","94040","02"
"$ 267.14","","209","Miramonte","3","0","4","33","","$1,741,190","12/07/2010","6,060","ML81056828","Mountain View","720.78","01/09/2011","$1,618,864","2,246","Sold","1408 MARIGOLD Court","","94040","02"
"$ 749.75","","200","Whisman","3","1","3","81","125","$1,523,868","05/19/2014","1,994","ML81417538","Mountain View","785.60","08/08/2014","$1,495,000","1,903","Sold","122 Avellino Way","","94043","R3-3"
"$ 911.28","","200","Whisman","3","1","4","46","176","$1,438,000","10/16/2014","1,578","ML81437431","Mountain View","781.52","12/01/2014","$1,438,000","1,840","Sold","127 EASY Street","","94043","R3"
"$ 1,286.96","","200","Whisman","3","1","4","63","176","$1,323,000","09/30/2014","1,028","ML81435510","Mountain View","747.04","","","1,771","Canceled","114 Savannah Loop","","94043","R3"
"$ 1,143.36","","200","Whisman","3","1","4","0","176","$1,300,000","09/19/2014","1,137","ML81434223","Mountain View","734.46","09/19/2014","$1,300,000","1,770","Sold","111 Savannah Loop","","94040","R3"
"$ 246.84","","207","Downtown Mountain View","1","0","2","8","","$938,000","11/04/2014","5,060","ML81439342","Mountain View","1,317.51","11/12/2014","$1,249,000","948","Sold","757 CALDERON Avenue","","94041","R1"
"$ 300.88","","207","Downtown Mountain View","3","1","3","55","95","$1,149,000","06/07/2012","3,656","ML81221448","Mountain View","611.79","08/01/2012","$1,100,000","1,798","Sold","671 CHIQUITA Avenue","","94041","R3-25"
"$ 168.92","","","","3","0","4","","","$1,098,000","10/12/2011","6,500","CROR11134179","Mountain View","477.39","","","2,300","Expired","2135 Junction Avenue","1948","94043",""
"$ 122.58","","","","2","0","4","","0","$750,000","09/01/2011","6,200","CRN11116964","Mountain View","482.85","09/14/2011","$760,000","1,574","Sold","975 San Pierre Way","1964","94043",""
"$ 302.89","0","208","Grant","5","0","5","7","","$2,580,000","06/05/2014","8,914","ML81419832","Mountain View","826.70","06/12/2014","$2,700,000","3,266","Sold","178 MARTENS Avenue","2014","94040","R1-7L"
"$ 243.57","0","209","Miramonte","4","1","4","18","","$2,795,000","09/27/2012","10,880","ML81235661","Mountain View","723.06","10/15/2012","$2,650,000","3,665","Sold","1640 HOLLINGSWORTH Drive","2012","94040","R1"
"$ 268.35","0","208","Grant","3","1","5","51","","$2,598,000","05/03/2013","9,130","ML81314927","Mountain View","845.41","06/23/2013","$2,450,000","2,898","Sold","2742 SAINT GILES Lane","2013","94040","1"
"$ 265.39","0","208","Grant","3","0","4","87","60","$2,448,000","05/03/2013","9,224","ML81314925","Mountain View","945.17","","","2,590","Canceled","101 MANSFIELD Drive","2013","94040","1"
"$ 265.39","0","208","Grant","3","0","4","126","","$2,448,000","08/14/2013","9,224","ML81329819","Mountain View","945.17","","","2,590","Canceled","101 MANSFIELD Drive","2013","94040","A"
"$ 222.31","0","208","Grant","4","1","4","7","","$2,195,000","07/11/2013","10,908","ML81324864","Mountain View","824.83","07/18/2013","$2,425,000","2,940","Sold","13080 SUN MOR Avenue","2013","94040","R1-10"
"$ 356.06","0","207","Downtown Mountain View","3","0","4","48","","$2,450,000","04/23/2014","6,600","ML81413655","Mountain View","959.18","06/10/2014","$2,350,000","2,450","Sold","462 PETTIS Avenue","2014","94041","R1"
"$ 220.17","0","208","Grant","2","1","2","2","60","$2,342,595","10/18/2012","10,640","ML81238428","Mountain View","803.63","10/20/2012","$2,342,595","2,915","Sold","420 MANSFIELD Drive","2012","94040","r1"
"$ 280.30","0","208","Grant","2","1","3","87","60","$2,299,000","06/02/2012","8,202","ML81221014","Mountain View","788.68","","","2,915","Canceled","2700 PAVO Lane","2012","94040","1"
"$ 248.81","0","208","Grant","3","0","4","140","60","$2,295,000","09/10/2013","9,224","ML81333563","Mountain View","886.10","09/20/2013","$2,295,000","2,590","Sold","101 MANSFIELD Drive","2013","94040","A"
"$ 278.81","0","208","Grant","3","0","4","87","","$2,448,000","05/03/2013","8,070","ML81314932","Mountain View","868.73","07/29/2013","$2,250,000","2,590","Sold","2746 SAINT GILES Lane","2013","94040","1"
"$ 280.72","0","209","Miramonte","3","1","5","21","","$2,350,000","01/15/2014","7,837","ML81401243","Mountain View","769.50","02/05/2014","$2,200,000","2,859","Sold","722 SONIA Way","2014","94040","R1"
"$ 263.16","0","208","Grant","3","1","4","37","","$2,299,000","06/03/2012","8,265","ML81221018","Mountain View","752.07","07/10/2012","$2,175,000","2,892","Sold","2710 PAVO Lane","2012","94040","1"
"$ 225.15","0","208","Grant","3","1","5","0","","$2,051,090","01/31/2012","9,110","ML81203746","Mountain View","719.18","01/31/2012","$2,051,090","2,852","Sold","241 LEVIN Avenue","2012","94040","R"
"$ 645.78","0","207","Downtown Mountain View","2","1","4","9","162","$1,930,888","08/09/2014","2,990","ML81429011","Mountain View","977.17","08/18/2014","$1,930,888","1,976","Sold","208 Shumway Lane","2014","94041","RES"
"$ 226.23","0","208","Grant","3","0","4","0","","$1,875,660","01/31/2012","8,291","ML81203729","Mountain View","724.19","01/31/2012","$1,875,660","2,590","Sold","201 LEVIN Avenue","2012","94040","R"
"$ 217.98","0","208","Grant","3","1","4","0","","$1,849,318","10/27/2011","8,484","ML81145465","Mountain View","675.67","10/27/2011","$1,849,318","2,737","Sold","451 LEVIN Avenue","2011","94040","R"
"$ 1,204.07","0","200","Whisman","3","1","4","45","176","$1,850,000","02/09/2015","1,524","ML81449951","Mountain View","832.58","03/26/2015","$1,835,000","2,204","Sold","101 Savannah Loop","2015","94043","R3"
"$ 211.02","0","208","Grant","3","1","4","90","","$1,850,000","08/12/2010","8,056","ML81039983","Mountain View","596.49","11/10/2010","$1,700,000","2,850","Sold","2007 SUNNYVIEW Lane","2010","94040","R110"
"$ 1,173.43","0","200","Whisman","3","1","4","0","176","$1,678,000","09/25/2014","1,430","ML81435013","Mountain View","761.34","09/25/2014","$1,678,000","2,204","Sold","106 Savannah Loop","2015","94040","R3"
"$ 566.94","0","207","Downtown Mountain View","2","1","3","19","162","$1,658,888","07/16/2014","2,948","ML81425670","Mountain View","1,095.24","08/04/2014","$1,671,335","1,526","Sold","212 SHUMWAY Lane","2014","94041","RES"
"$ 510.56","0","207","Downtown Mountain View","2","1","3","48","162","$1,648,888","08/05/2014","3,232","ML81428683","Mountain View","1,081.34","09/22/2014","$1,650,119","1,526","Sold","228 Shumway Lane","2014","94041","RES"
"$ 1,130.89","0","200","Whisman","3","1","4","0","176","$1,575,000","01/21/2015","1,426","ML81447673","Mountain View","849.66","01/21/2015","$1,612,654","1,898","Sold","102 Savannah Loop","2015","94043","R3"
"$ 1,307.50","0","200","Whisman","3","1","4","46","176","$1,535,000","12/19/2014","1,174","ML81445155","Mountain View","834.24","02/03/2015","$1,535,000","1,840","Sold","115 Savannah Loop","2015","94043","R3-3"
