"profitPercentOfInvestment","MLS.Number","houseRatioNewBuild","houseSizeSqFt","list.Price.Num","houseDollarPerSFNewBuild","totalCostToBuild","predictedSalePrice","potentialProfit","lotSqFt","Age","DOM","Street.Address","Area..","Zip.Code","Postal.City","County"
"1.3371728","ML81631441","0.2639303"," 4800.000","  519000"," 900.0000"," 1719000"," 4017600","2298600.0"," 88426"," 76","128","17320 Stevens Canyon Road","17","95014","Cupertino","Santa Clara"
"0.9396179","ML81642591","0.1110160"," 6189.917"," 2399000","1329.7139"," 3946479"," 7654662","3708182.5"," 55757"," 56","2","485 Summit Springs Road","274","94062","Woodside","San Mateo"
"0.3624638","ML81642944","0.3796692"," 3089.400"," 1299000"," 982.2485"," 2071350"," 2822139"," 750789.5","  9000"," 60","0","1162 Cordelia Avenue","18","95129","San Jose","Santa Clara"
"0.3577512","ML81642348","0.4413731"," 2450.800","  949000"," 991.1034"," 1561700"," 2120400"," 558700.0","  6250"," 97","3","511 Corbitt Drive","464","94010","Burlingame","San Mateo"
"0.3563607","ML81642051","0.4498847"," 4723.789"," 2995000","1289.3082"," 4175947"," 5664091","1488143.5"," 10500"," 62","6","1350 Elder Avenue","303","94025","Menlo Park","San Mateo"
"0.3419315","ML81642496","0.1110160"," 8562.500"," 5750000","1329.7139"," 7890625","10588678","2698052.9","136778"," 30","3","340 Jane Drive","274","94062","Woodside","San Mateo"
"0.3196498","ML81642215","0.1141174"," 5697.000"," 2988000","1098.9796"," 4412250"," 5822625","1410374.7"," 55321"," 45","4","27022 Dezahara Way","221","94022","Los Altos Hills","Santa Clara"
"0.2868203","ML81638114","0.3796692"," 2391.916"," 1100000"," 982.2485"," 1697979"," 2184994"," 487014.9","  6300"," 58","14","1017 Miller Avenue","18","95129","San Jose","Santa Clara"
"0.2574085","ML81641444","0.3364471"," 2496.500","  685000"," 708.9947"," 1309125"," 1646105"," 336979.9","  8100"," 76","10","2361 Fruitdale Avenue","15","95128","San Jose","Santa Clara"
"0.2446838","ML81642354","0.3426509"," 2014.787","  849000"," 898.5606"," 1352697"," 1683680"," 330982.9","  5880"," 63","3","880 San Mateo Court","19","94085","Sunnyvale","Santa Clara"
"0.2420088","ML81642364","0.3796692"," 3089.400"," 1499888"," 982.2485"," 2272238"," 2822139"," 549901.5","  9200"," 56","3","1258 S Stelling Road","18","95014","Cupertino","Santa Clara"
"0.2366571","ML81642077","0.3419645"," 4257.500"," 1695000"," 861.8316"," 2759375"," 3412401"," 653025.8"," 15750"," 41","5","193 Westhill Drive","16","95032","Los Gatos","Santa Clara"
"0.2241010","ML81641654","0.4449712"," 2472.000"," 1250000"," 994.6327"," 1868000"," 2286621"," 418620.7","  6250"," 85","9","216 Victoria Road","462","94010","Burlingame","San Mateo"
